ROI backgr, sum

Spectrum                             Na       Mg       Al       Si        S        K       Ca       Ti        Fe        Sr        Rh
SRM_1831_300s_20x20det_1_11_16    -2102    -2606    -2983    -3027    -3517    -5779    -6301    -8653    -33790    -86162    -39415
SRM_1831_300s_20x20det_1_11_17    -2068    -2580    -2988    -3085    -3661    -5859    -6356    -8773    -33099    -86238    -39412
SRM_1831_300s_20x20det_1_11_18    -2062    -2567    -2966    -3051    -3552    -5811    -6353    -8918    -32995    -86376    -39281
SRM_1831_300s_20x20det_1_11_19    -2138    -2668    -3092    -3192    -3714    -5895    -6443    -8863    -33022    -86081    -39913
SRM_1831_300s_20x20det_1_11_2     -2071    -2574    -2969    -3048    -3601    -5792    -6336    -8520    -33296    -85509    -40415
SRM_1831_300s_20x20det_1_11_3     -2082    -2603    -3021    -3123    -3668    -5843    -6383    -8768    -33563    -86155    -39339
SRM_1831_300s_20x20det_1_11_4     -2103    -2623    -3024    -3087    -3636    -5848    -6366    -8768    -33060    -85731    -39190
SRM_1831_300s_20x20det_1_11_5     -2126    -2657    -3082    -3174    -3649    -5677    -6089    -8631    -33251    -86539    -39506
SRM_1831_300s_20x20det_1_11_6     -2104    -2633    -3063    -3179    -3743    -5779    -6273    -8850    -33185    -86694    -39474
SRM_1831_300s_20x20det_1_11_7     -2154    -2677    -3089    -3173    -3703    -5860    -6367    -8784    -33591    -86446    -39924
SRM_1831_300s_20x20det_1_11_8     -2136    -2652    -3035    -3070    -3596    -5915    -6497    -8930    -33654    -86025    -39780
SRM_1831_300s_20x20det_1_11_9     -2098    -2619    -3032    -3125    -3629    -5883    -6455    -8728    -33377    -85980    -39593
SRM_1831_300s_20x20det_1_12_0     -2137    -2654    -3056    -3131    -3645    -5862    -6431    -8737    -33848    -86496    -41403
SRM_1831_300s_20x20det_1_12_1     -2120    -2643    -3059    -3145    -3715    -5859    -6381    -8793    -33815    -86419    -40468
SRM_1831_300s_20x20det_1_12_10    -2107    -2630    -3047    -3143    -3714    -5828    -6382    -8750    -33440    -86152    -39659
SRM_1831_300s_20x20det_1_12_11    -2080    -2600    -3018    -3119    -3672    -5789    -6277    -8818    -33493    -85974    -39865
SRM_1831_300s_20x20det_1_12_12    -2073    -2556    -2902    -2912    -3382    -5814    -6390    -9037    -33639    -85908    -39535
SRM_1831_300s_20x20det_1_12_13    -2087    -2600    -3005    -3092    -3588    -5724    -6203    -8715    -33703    -86262    -39758
SRM_1831_300s_20x20det_1_12_14    -2126    -2632    -2994    -3001    -3470    -5820    -6347    -8540    -33488    -85991    -39515
SRM_1831_300s_20x20det_1_12_15    -2132    -2658    -3077    -3173    -3718    -5908    -6493    -8693    -33438    -85931    -39547
SRM_1831_300s_20x20det_1_12_16    -2074    -2582    -2974    -3044    -3577    -5836    -6377    -8872    -33393    -86057    -39778
SRM_1831_300s_20x20det_1_12_17    -2050    -2566    -2976    -3062    -3606    -5768    -6300    -8749    -33691    -85837    -39485
SRM_1831_300s_20x20det_1_12_18    -2141    -2648    -3012    -3018    -3523    -5866    -6427    -8548    -33587    -86458    -39333
SRM_1831_300s_20x20det_1_12_19    -2083    -2598    -3007    -3091    -3601    -5722    -6231    -8912    -33857    -86068    -39184
SRM_1831_300s_20x20det_1_12_2     -2166    -2701    -3122    -3215    -3732    -5919    -6484    -8753    -33168    -85952    -39936
SRM_1831_300s_20x20det_1_12_3     -2125    -2641    -3044    -3117    -3587    -5857    -6386    -8768    -33752    -86113    -40002
SRM_1831_300s_20x20det_1_12_4     -2066    -2555    -2906    -2910    -3360    -5613    -6070    -8774    -33562    -85888    -39716
SRM_1831_300s_20x20det_1_12_5     -2105    -2624    -3028    -3105    -3629    -5875    -6401    -8856    -33602    -86095    -39625
SRM_1831_300s_20x20det_1_12_6     -2136    -2660    -3078    -3174    -3699    -5845    -6416    -8666    -32774    -86007    -39390
SRM_1831_300s_20x20det_1_12_7     -2088    -2609    -3015    -3092    -3646    -5911    -6477    -8937    -33446    -86117    -39847
SRM_1831_300s_20x20det_1_12_8     -2071    -2573    -2958    -3020    -3466    -5687    -6200    -8866    -33032    -86271    -39617
SRM_1831_300s_20x20det_1_12_9     -2078    -2582    -2974    -3045    -3600    -5768    -6288    -8899    -33480    -86416    -39749
SRM_1831_300s_20x20det_1_13_0     -2139    -2661    -3067    -3144    -3667    -5817    -6329    -8769    -33706    -86064    -41057
SRM_1831_300s_20x20det_1_13_1     -2128    -2657    -3084    -3193    -3714    -5845    -6392    -8703    -32670    -86316    -40730
SRM_1831_300s_20x20det_1_13_10    -2066    -2568    -2954    -3016    -3507    -5835    -6408    -8844    -33079    -86096    -39902
SRM_1831_300s_20x20det_1_13_11    -2112    -2646    -3079    -3189    -3770    -5898    -6440    -8930    -33094    -86033    -39389
