Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca   Ti     Fe    Sr     Rh
SRM_1831_300s_20x20det_1_11_5   9969 11162 15450 1675237  9796 45372 1860758 6392 119535 36662 128188
SRM_1831_300s_20x20det_1_11_6  10372 11135 15155 1674063  9611 44931 1861944 6505 119019 36144 128462
SRM_1831_300s_20x20det_1_11_7  10104 11167 15400 1675489  9653 45020 1859456 6450 118980 36408 127999
SRM_1831_300s_20x20det_1_11_8   9966 11159 15504 1674457  9745 45195 1858370 6412 120408 36819 128577
SRM_1831_300s_20x20det_1_11_9   9910 11171 15184 1665729  9414 45199 1853009 6560 119469 36116 128448
SRM_1831_300s_20x20det_1_12_0  10076 11253 15768 1672119  9523 45215 1858978 6370 119134 36258 128946
SRM_1831_300s_20x20det_1_12_1  10026 11147 15523 1673936  9747 45127 1864100 6962 119379 36617 129166
SRM_1831_300s_20x20det_1_12_10 10070 11308 15171 1678532  9717 45208 1863797 6673 119839 36704 128456
SRM_1831_300s_20x20det_1_12_11 10026 11221 15331 1670049  9504 44895 1858006 6671 118669 36561 127485
SRM_1831_300s_20x20det_1_12_12 10186 11188 15354 1673217  9429 44154 1858001 6287 119468 36890 128212
SRM_1831_300s_20x20det_1_12_13  9998 10995 15364 1675188  9670 45009 1860624 6692 119491 36238 127910
SRM_1831_300s_20x20det_1_12_14 10329 10971 15444 1672132  9806 45385 1858173 6522 119078 36892 128487
SRM_1831_300s_20x20det_1_12_15  9681 11195 15151 1672583  9642 44451 1858539 6563 119612 36720 128369
SRM_1831_300s_20x20det_1_12_16 10273 11315 15311 1671093  9539 45567 1858394 6559 118945 36675 127386
SRM_1831_300s_20x20det_1_12_17 10014 11122 15722 1671753  9684 45176 1861708 6820 119590 36592 128522
SRM_1831_300s_20x20det_1_12_18 10073 11068 15164 1670500  9603 45109 1858874 6452 120412 36222 128890
SRM_1831_300s_20x20det_1_12_19 10069 10904 15079 1660917  9522 45040 1856161 6289 118406 36830 128695
SRM_1831_300s_20x20det_1_12_2  10002 11068 15025 1676539  9544 45385 1862948 6549 120220 37384 128396
SRM_1831_300s_20x20det_1_12_3  10009 10966 15151 1673705  9627 45060 1863371 6915 119877 36331 128845
SRM_1831_300s_20x20det_1_12_4  10238 11055 15374 1671234  9880 44847 1856512 6567 118716 36296 129236
SRM_1831_300s_20x20det_1_12_5   9756 11317 15228 1672597  9429 45001 1859423 6530 119344 37479 128526
SRM_1831_300s_20x20det_1_12_6   9683 11056 15495 1674374  9809 45209 1858967 6526 119775 36618 128984
SRM_1831_300s_20x20det_1_12_7   9979 11041 15282 1676641  9537 44609 1860095 6140 119609 36198 128036
SRM_1831_300s_20x20det_1_12_8  10116 11078 15213 1673316  9814 45574 1857437 6560 119910 37625 128748
SRM_1831_300s_20x20det_1_12_9   9964 11277 15563 1673614  9417 45668 1861757 6626 119351 36469 126858
SRM_1831_300s_20x20det_1_13_0  10049 11134 15695 1673959  9838 46001 1860057 6547 118815 36914 129279
SRM_1831_300s_20x20det_1_13_1  10284 11054 15392 1672780  9879 45274 1861442 6682 119538 35450 128650
SRM_1831_300s_20x20det_1_13_10  9839 11158 15235 1678884  9738 45649 1862289 6518 120236 37225 128094
SRM_1831_300s_20x20det_1_13_11 10093 11130 15512 1678948  9590 45099 1863217 6781 120133 36872 128316
SRM_1831_300s_20x20det_1_13_12 10151 11411 15296 1664867  9664 44689 1856253 6336 118910 36669 127067
SRM_1831_300s_20x20det_1_13_13 10041 10933 15698 1678533  9667 44936 1862927 6637 119041 35924 128750
SRM_1831_300s_20x20det_1_13_14 10199 11245 15566 1674580  9922 45119 1861079 6313 118995 36434 128141
SRM_1831_300s_20x20det_1_13_15  9912 11231 15302 1676480  9754 45431 1859640 6628 119425 37301 128235
SRM_1831_300s_20x20det_1_13_16  9791 11232 15351 1675453  9753 45378 1864835 6750 119435 37485 129060
SRM_1831_300s_20x20det_1_13_17 10156 11324 15210 1674075  9887 45213 1858747 6670 118661 37542 128274
SRM_1831_300s_20x20det_1_13_18 10373 11292 15590 1679366  9850 45486 1864082 6443 119838 36758 128982
SRM_1831_300s_20x20det_1_13_19 10287 11089 15265 1676123  9938 45101 1863468 6473 120208 36376 128718
SRM_1831_300s_20x20det_1_13_2  10151 11306 15590 1671987  9849 44559 1861155 6941 119568 37110 128603
SRM_1831_300s_20x20det_1_13_3  10060 11022 15213 1674244  9490 45314 1856706 6549 119802 36815 127445
SRM_1831_300s_20x20det_1_13_4  10107 10995 15324 1671404  9531 44694 1858217 6229 118758 37150 128072
SRM_1831_300s_20x20det_1_13_5  10064 11240 15355 1671647  9560 45188 1858098 6790 118511 36830 128996
SRM_1831_300s_20x20det_1_13_6  10021 11114 15278 1674220  9308 45075 1860846 6526 119230 37268 129024
SRM_1831_300s_20x20det_1_13_7  10240 11292 15524 1668955  9728 45343 1861155 6539 119269 36000 128722
SRM_1831_300s_20x20det_1_13_8   9951 10998 15764 1675946  9714 44902 1861842 6934 119835 36323 127634
SRM_1831_300s_20x20det_1_13_9  10102 11158 15504 1671925  9897 44870 1859688 6533 119579 37302 128128
SRM_1831_300s_20x20det_1_14_0   9936 11383 15398 1678794  9928 45132 1863909 6644 119001 37019 129653
SRM_1831_300s_20x20det_1_14_1   9705 11273 15466 1673743  9856 45060 1862264 6521 118810 35539 129879
SRM_1831_300s_20x20det_1_14_10 10058 11351 15548 1677012  9750 44882 1861850 6378 118839 37498 129485
SRM_1831_300s_20x20det_1_14_11  9902 11228 15571 1675169  9947 45005 1860142 6662 118961 37148 129006
SRM_1831_300s_20x20det_1_14_12 10056 10950 15278 1677545  9676 45373 1859044 6689 119673 36541 128969
SRM_1831_300s_20x20det_1_14_13 10211 11221 15456 1678571  9739 45159 1862723 6506 119205 35947 129098
SRM_1831_300s_20x20det_1_14_14  9974 11284 15097 1678071  9456 45536 1862830 6531 119529 37351 128681
SRM_1831_300s_20x20det_1_14_15 10163 11143 15501 1675060 10099 45367 1859643 6527 119538 37143 127869
SRM_1831_300s_20x20det_1_14_16 10002 11233 15248 1676415  9972 44886 1862626 6731 119366 36894 127532
SRM_1831_300s_20x20det_1_14_17 10181 11388 15326 1676255  9811 44371 1860471 6391 120047 36358 129002
SRM_1831_300s_20x20det_1_14_18 10121 11176 15549 1675848  9739 45161 1861723 6327 118688 35909 128175
SRM_1831_300s_20x20det_1_14_19  9798 11052 15144 1676746  9858 45558 1861473 6759 119193 37018 128333
SRM_1831_300s_20x20det_1_14_2   9916 11235 15316 1671418  9851 45096 1861007 6990 118502 36115 127972
SRM_1831_300s_20x20det_1_14_3   9820 11110 15155 1675340  9832 45411 1859211 6287 118885 36484 128441
SRM_1831_300s_20x20det_1_14_4  10062 11140 15318 1673768  9879 45503 1860058 6463 118709 37482 128891
SRM_1831_300s_20x20det_1_14_5   9961 11092 15615 1674693  9196 44800 1857422 6713 119259 37299 127891
SRM_1831_300s_20x20det_1_14_6   9927 11523 15243 1675384  9365 45212 1860178 6531 118559 36527 129620
SRM_1831_300s_20x20det_1_14_7  10109 11042 15267 1669925 10009 44871 1861304 6576 119577 36604 128880
SRM_1831_300s_20x20det_1_14_8  10188 10984 15682 1673681  9993 45557 1858151 7008 119619 36970 127715
SRM_1831_300s_20x20det_1_14_9   9198 10700 14788 1621403  9401 44052 1850450 6411 118613 36347 127421
SRM_1831_300s_20x20det_1_15_0  10083 11118 15590 1677344  9895 45119 1863404 6782 119299 37237 129908
SRM_1831_300s_20x20det_1_15_1  10221 11244 15442 1678155  9694 45770 1860721 6832 118991 36619 128339
SRM_1831_300s_20x20det_1_15_10 10068 10987 15133 1673736 10023 45227 1859275 6838 118936 36570 127663
SRM_1831_300s_20x20det_1_15_11  9946 11269 15528 1671108  9748 45291 1858215 6675 118672 36665 127573
SRM_1831_300s_20x20det_1_15_12 10166 11195 15593 1671483  9757 45414 1859181 6259 119325 35888 129262
SRM_1831_300s_20x20det_1_15_13  9945 11241 15343 1673987  9789 44302 1858060 6618 119510 36236 128153
SRM_1831_300s_20x20det_1_15_14 10130 11044 15211 1670013 10163 45113 1857515 6546 119148 36612 128819
SRM_1831_300s_20x20det_1_15_15 10132 11172 15252 1672671  9637 45207 1861994 6664 119448 37195 127923
SRM_1831_300s_20x20det_1_15_16 10072 11359 15606 1677404  9886 44890 1864831 6612 119858 36425 128695
SRM_1831_300s_20x20det_1_15_17 10136 11135 15736 1678071  9685 45015 1862400 6342 119734 36896 127704
SRM_1831_300s_20x20det_1_15_18 10070 11385 15661 1675052  9644 45006 1859660 6428 119636 36134 127878
SRM_1831_300s_20x20det_1_15_19 10095 11259 14927 1679212  9722 45214 1863946 6373 119126 37021 128816
SRM_1831_300s_20x20det_1_15_2   9955 11409 15287 1673018  9867 45096 1866265 6384 120041 37132 128980
SRM_1831_300s_20x20det_1_15_3  10080 11065 15176 1675139  9855 45127 1859674 6661 118986 36989 128828
SRM_1831_300s_20x20det_1_15_4  10048 11177 14963 1671135  9693 45644 1860357 6129 119706 37392 127744
SRM_1831_300s_20x20det_1_15_5  10051 11167 15277 1675242  9790 44844 1861174 6348 119107 37833 128002
SRM_1831_300s_20x20det_1_15_6  10034 11129 15195 1675686  9651 45125 1865882 6850 119681 36292 128607
SRM_1831_300s_20x20det_1_15_7   9906 11087 15098 1675955  9803 45258 1861242 6502 118719 36005 129378
SRM_1831_300s_20x20det_1_15_8  10113 11289 15268 1673500  9132 45047 1859011 6789 118893 36571 128689
SRM_1831_300s_20x20det_1_15_9  10148 11087 15372 1674105  9712 45163 1857607 6245 118362 36324 128340
SRM_1831_300s_20x20det_1_16_0  10049 11280 15677 1676689  9750 45253 1862795 6461 119492 36448 129250
SRM_1831_300s_20x20det_1_16_1  10051 11491 15686 1675725  9710 44998 1861951 6710 119778 36543 127872
SRM_1831_300s_20x20det_1_16_10 10186 11100 15321 1675649  9609 45060 1861821 6579 119061 37141 128670
SRM_1831_300s_20x20det_1_16_11 10025 11348 15430 1677695  9826 45867 1862800 6599 120163 36678 128043
SRM_1831_300s_20x20det_1_16_12  9909 10990 15101 1674057  9661 45169 1863926 6655 119163 36749 126950
SRM_1831_300s_20x20det_1_16_13  8571  9806 13892 1543785 14194 44587 1842068 6525 119289 37113 128210
SRM_1831_300s_20x20det_1_16_14 10087 11344 15290 1676081  9747 44905 1859609 6648 118655 37021 129162
SRM_1831_300s_20x20det_1_16_15 10194 11203 15407 1673893  9534 45335 1860858 6478 118531 36269 128185
SRM_1831_300s_20x20det_1_16_16 10266 11498 15380 1678334  9591 45181 1862462 6518 119603 37229 128307
SRM_1831_300s_20x20det_1_16_17  9948 11148 15752 1675089  9778 44755 1862123 6595 119130 36469 127932
SRM_1831_300s_20x20det_1_16_18 10315 11177 15523 1679294  9653 45241 1863670 6780 118180 36959 127728
SRM_1831_300s_20x20det_1_16_19  9963 11379 15577 1675075  9921 45368 1861837 6507 118296 37036 128564
SRM_1831_300s_20x20det_1_16_2  10272 11453 15719 1677142  9374 45063 1861621 6552 119466 36768 128499
SRM_1831_300s_20x20det_1_16_3  10166 11136 15354 1669547  9729 45213 1857720 6412 119334 36461 128053
SRM_1831_300s_20x20det_1_16_4  10077 11134 15475 1677150  9895 44973 1863446 7082 119085 36836 127946
SRM_1831_300s_20x20det_1_16_5   9962 11227 15230 1677193  9516 45274 1859661 6535 119986 36701 127610
SRM_1831_300s_20x20det_1_16_6   9623 11183 15146 1674468  9744 45520 1859585 6398 118264 37057 127866
SRM_1831_300s_20x20det_1_16_7  10087 10875 14963 1672151  9882 44720 1861703 6587 119201 35929 129125
SRM_1831_300s_20x20det_1_16_8  10229 11251 15239 1674939  9954 44711 1862235 6341 120520 37179 129438
SRM_1831_300s_20x20det_1_16_9   9890 11117 15591 1674195  9744 45032 1859131 6844 119111 37221 128615
SRM_1831_300s_20x20det_1_17_0  10143 11137 15306 1678602  9646 45108 1866289 6368 118938 36497 128068
SRM_1831_300s_20x20det_1_17_1  10243 11357 15592 1676718  9811 44959 1863946 6559 119210 36084 128443
SRM_1831_300s_20x20det_1_17_10  9999 11162 15441 1678060  9663 45404 1861421 6946 120248 37286 127715
SRM_1831_300s_20x20det_1_17_11 10075 11342 15235 1679426  9729 44864 1862445 6474 119866 37208 128992
SRM_1831_300s_20x20det_1_17_12  9970 11090 15509 1678648  9798 44709 1863450 6568 119672 36185 129223
SRM_1831_300s_20x20det_1_17_13  9984 11295 15484 1676921  9494 44475 1861725 6895 119367 37940 127936
SRM_1831_300s_20x20det_1_17_14 10008 10996 15140 1677903  9732 45315 1864269 6467 119172 36707 128536
SRM_1831_300s_20x20det_1_17_15 10276 11390 15185 1673186  9602 44911 1859488 6292 119541 36237 129124
SRM_1831_300s_20x20det_1_17_16 10015 11048 15435 1679435  9787 44658 1860679 6463 120139 36642 127961
