Mass percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  14.69 4.22 1.66 62.90 0.21 0.72 15.34 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  14.06 4.26 1.64 63.28 0.21 0.73 15.57 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 14.68 4.22 1.67 62.84 0.23 0.72 15.38 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 14.41 4.19 1.67 63.06 0.23 0.72 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 14.45 4.19 1.69 63.01 0.22 0.73 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 14.38 4.27 1.63 63.04 0.22 0.73 15.48 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 14.58 4.21 1.65 63.00 0.22 0.71 15.38 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 14.17 4.21 1.67 63.18 0.22 0.73 15.57 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 14.09 4.12 1.65 63.33 0.23 0.72 15.61 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 14.15 4.12 1.67 63.25 0.23 0.74 15.60 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 14.53 4.21 1.63 63.00 0.23 0.73 15.42 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 14.64 4.07 1.66 63.02 0.23 0.72 15.41 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  13.72 4.17 1.62 63.55 0.23 0.74 15.72 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 14.41 4.27 1.70 63.01 0.22 0.72 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 14.67 4.27 1.67 62.85 0.21 0.72 15.36 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 14.00 4.09 1.66 63.40 0.22 0.73 15.66 0.03 0.19 0.04 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 14.32 4.22 1.66 63.12 0.22 0.73 15.49 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 14.49 4.23 1.66 62.98 0.23 0.73 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 14.44 4.14 1.66 63.08 0.21 0.71 15.51 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 14.50 4.27 1.66 62.96 0.22 0.72 15.41 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 14.77 4.15 1.62 62.88 0.22 0.73 15.38 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 13.84 4.32 1.66 63.37 0.22 0.73 15.62 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 14.67 4.27 1.66 62.86 0.22 0.71 15.36 0.03 0.18 0.03 0.00
