ROI sum

Spectrum                                  Na    Mg    Al      Si     S     K      Ca    Ti     V    Fe    Zn    Sr    Zr     Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47  9920 10563 13976 1031240 10311 31643 1034841  9756 11351 91309 59841 80245 55691  96218
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48  9855 10726 13932 1029427 10570 31381 1035654  9889 11524 90894 59322 80837 55540  96128
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49  9845 10751 13872 1028533 10478 31298 1036204  9812 11507 91272 59363 80631 55925  96431
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5   9727 10541 13988 1029723 10537 31444 1035664  9753 11615 90668 59769 80837 55939  95666
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 10177 10787 13999 1029017 10466 31410 1034743 10023 11446 91018 59506 80427 55734  95388
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51  9819 10553 14099 1028996 10377 31591 1035361  9853 11548 90689 59884 79558 55468  95561
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52  9883 10688 14009 1030363 10277 31310 1035148  9984 11402 90978 59276 80209 55610  95231
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53  9945 10732 14107 1025377 10470 31180 1034308  9793 11464 90951 59325 80543 55724  96134
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54  9958 10717 14118 1028569 10471 31427 1036119  9874 11351 91232 59080 80616 55683  96076
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55  9847 10894 14038 1027885 10528 31679 1036145  9764 11581 90960 59872 80526 55673  95190
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 10020 10700 13812 1028110 10364 31440 1035518  9859 11471 91074 59380 80304 55382  95640
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 10074 10768 14158 1031024 10563 31336 1034838  9895 11519 90859 59200 80377 55391  96025
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58  9952 10693 14182 1027100 10433 31522 1036321  9809 11453 91468 60013 80443 55489  96189
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 10053 10658 13989 1028652 10494 31626 1036095  9887 11489 91349 59656 80556 55795  96045
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6   9982 10882 14145 1028001 10401 31585 1035174  9972 11392 91140 60086 80096 55459  96162
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60  9980 10725 14028 1026266 10527 31297 1035395  9917 11459 91121 59348 80531 55208  96158
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61  9860 10833 13906 1027089 10382 31780 1037726  9962 11506 91279 59120 80628 55494  95907
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62  9803 10557 13937 1027700 10586 31626 1036508  9919 11550 91229 59691 80263 55978  95933
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63  9916 10761 13932 1029525 10413 31380 1034559  9831 11391 91200 59954 80330 55767  95764
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 10078 10632 14123 1029747 10631 31462 1036971  9899 11583 91287 59477 80045 55954  95999
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 10055 10684 14030 1028793 10424 31179 1035726 10091 11323 91410 59967 80620 55882  95451
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66  9879 10744 14171 1028819 10398 31530 1035032  9953 11469 91584 60085 80576 55805  96005
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67  9962 10570 13828 1028596 10530 31349 1036645  9884 11602 91144 59134 80210 55436  95277
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68  9894 10771 14270 1029495 10579 31622 1036114  9914 11663 91238 59352 79985 55395  95881
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69  9973 10593 14021 1028376 10567 31350 1035068  9845 11369 90755 59285 80703 55262  95832
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7   9714 10651 14020 1027185 10365 31597 1035560  9778 11368 90778 59435 80141 55871  95945
