Net counts

Spectrum                                 Na   Mg    Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 6546 7427 10103 1124324 6243 30428 1260106 4477 81419 24064 84687
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 6694 7421 10178 1119416 6490 30154 1258463 4212 81729 24533 85423
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 6602 7368 10275 1122596 6537 30515 1260478 4324 82271 24795 85068
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 6603 7629 10211 1122117 6427 30606 1260981 4268 81639 24580 84444
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 6720 7386 10028 1122714 6494 30400 1259930 4271 81131 24098 84525
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 6927 7639 10482 1125699 6452 30269 1258872 4286 80769 24285 84961
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 6762 7512 10449 1121526 6330 30515 1261413 4430 82129 24639 85274
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 6839 7506 10051 1123221 6548 30676 1262288 4309 82564 24550 84938
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  6719 7730 10372 1123060 6197 30563 1260020 4225 81668 24303 84836
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 6778 7562 10313 1121044 6563 30343 1261394 4579 81278 24126 85203
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 6574 7572 10053 1121799 6478 30842 1263488 4270 81885 24667 85645
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 6624 7309 10268 1122167 6707 30840 1262147 4471 81592 24276 85103
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 6620 7548 10110 1124195 6420 30428 1259614 4304 81259 24681 85498
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 6806 7352 10427 1124148 6682 30687 1262821 4516 82082 24294 85426
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 6724 7423 10160 1122972 6458 30295 1259207 4483 81802 24618 84626
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 6567 7533 10408 1123509 6357 30396 1259733 4393 81509 24562 84715
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 6713 7252 10157 1122864 6699 30328 1260558 4196 81693 24325 84767
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 6520 7412 10359 1123504 6567 30649 1260369 4666 81742 24019 85448
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 6771 7442 10215 1122187 6519 30139 1259932 4401 80947 24547 84866
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  6460 7459 10219 1121169 6253 30393 1258709 4191 81766 24217 85527
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 6622 7481 10047 1125445 6622 30541 1260921 4202 81651 23873 85375
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 6624 7506 10134 1121409 6559 30368 1259459 4633 81473 24565 84830
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 6535 7421 10138 1123195 6477 30246 1258666 4387 81394 24626 84337
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 6520 7428  9961 1122495 6141 30024 1260105 4320 82169 24287 84769
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 6463 7332 10108 1122998 6516 30292 1259898 4400 81239 25037 84572
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 6581 7383 10377 1120885 6543 30119 1261316 4208 81370 24263 85136
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 6600 7357 10309 1122547 6361 30530 1260645 4542 82424 23989 86058
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 6661 7352 10067 1122043 6681 30639 1258283 4318 81609 23749 84804
