ROI backgr, sum

Spectrum                             Na       Mg       Al       Si        S        K       Ca       Ti        Fe        Sr        Rh
------------------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_2_0_0      -2423    -3023    -3495    -3585    -4234    -6646    -7133    -9754    -36490    -90000    -44655
SRM_1831_300s_20x20det_2_0_1      -2429    -3058    -3575    -3720    -4301    -6582    -7087    -9626    -35496    -89469    -43980
SRM_1831_300s_20x20det_2_0_10     -2381    -2977    -3461    -3584    -4210    -6559    -7061    -9756    -36153    -90356    -43761
SRM_1831_300s_20x20det_2_0_11     -2438    -3059    -3576    -3735    -4433    -6646    -7080    -9780    -36472    -90193    -43419
SRM_1831_300s_20x20det_2_0_12     -2413    -3002    -3452    -3512    -4133    -6550    -7007    -9811    -36155    -90755    -43172
SRM_1831_300s_20x20det_2_0_13     -2415    -3024    -3520    -3649    -4286    -6715    -7310    -9825    -36641    -90343    -43325
SRM_1831_300s_20x20det_2_0_14     -2419    -3029    -3525    -3653    -4332    -6676    -7153    -9596    -36363    -91069    -43513
SRM_1831_300s_20x20det_2_0_15     -2438    -3058    -3573    -3725    -4332    -6713    -7283    -9826    -36393    -90405    -42678
SRM_1831_300s_20x20det_2_0_16     -2384    -2987    -3484    -3627    -4346    -6743    -7237    -9880    -36594    -90576    -43155
SRM_1831_300s_20x20det_2_0_17     -2396    -2995    -3470    -3573    -4247    -6719    -7240    -9721    -36838    -90704    -43181
SRM_1831_300s_20x20det_2_0_18     -2363    -2939    -3378    -3437    -4065    -6670    -7180    -9824    -36580    -90512    -43087
SRM_1831_300s_20x20det_2_0_19     -2391    -2986    -3464    -3574    -4286    -6730    -7214    -9511    -36081    -90415    -43170
SRM_1831_300s_20x20det_2_0_2       -445     -544     -613     -610     -695    -1244    -1359    -1668     -6130    -15724     -7796
SRM_1831_300s_20x20det_2_0_3      -2442    -3064    -3585    -3747    -4434    -6721    -7243    -9251    -36712    -90365    -42639
SRM_1831_300s_20x20det_2_0_4      -2398    -2994    -3466    -3566    -4155    -6622    -7133    -9650    -36220    -90072    -43125
SRM_1831_300s_20x20det_2_0_5      -2414    -3015    -3494    -3598    -4250    -6782    -7341    -9658    -35298    -90098    -43724
SRM_1831_300s_20x20det_2_0_6      -2434    -3053    -3555    -3684    -4411    -6796    -7303    -9804    -36532    -90501    -43618
SRM_1831_300s_20x20det_2_0_7      -2395    -2983    -3442    -3522    -4185    -6674    -7203    -9749    -36311    -90752    -43397
SRM_1831_300s_20x20det_2_0_8      -2385    -2981    -3456    -3560    -4253    -6629    -7160    -9784    -36030    -90419    -43748
SRM_1831_300s_20x20det_2_0_9      -2412    -3024    -3526    -3661    -4383    -6698    -7165    -9660    -36412    -90510    -43092
