Atomic percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47 17.71 4.21 0.98 64.98 0.19 0.50 11.30 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48 17.41 4.35 0.99 65.08 0.19 0.50 11.35 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49 17.38 4.36 0.97 65.09 0.19 0.50 11.37 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5  17.30 4.27 1.01 65.20 0.19 0.50 11.39 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 18.37 4.48 1.01 64.26 0.19 0.49 11.07 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51 17.54 4.23 1.00 65.05 0.19 0.51 11.35 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 17.29 4.28 0.98 65.23 0.18 0.51 11.40 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 17.70 4.35 1.00 64.84 0.19 0.50 11.29 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 17.50 4.29 1.02 65.02 0.19 0.50 11.34 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 17.45 4.44 1.01 64.95 0.19 0.51 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 17.76 4.22 0.94 64.94 0.19 0.50 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 18.12 4.44 1.05 64.49 0.18 0.49 11.10 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 17.85 4.34 1.01 64.72 0.18 0.50 11.26 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 17.98 4.31 0.95 64.69 0.19 0.50 11.24 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  17.61 4.45 1.01 64.86 0.18 0.50 11.27 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 17.80 4.38 1.01 64.73 0.19 0.50 11.26 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 17.37 4.38 0.96 65.05 0.19 0.51 11.40 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 17.63 4.22 0.98 64.99 0.19 0.51 11.36 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 17.49 4.36 0.96 65.04 0.19 0.50 11.33 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 18.00 4.29 1.02 64.65 0.20 0.50 11.22 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 17.76 4.32 1.00 64.84 0.19 0.50 11.27 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 17.44 4.39 1.02 65.01 0.19 0.50 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 17.83 4.25 0.99 64.84 0.19 0.50 11.28 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 17.25 4.29 1.03 65.20 0.19 0.51 11.40 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 17.82 4.32 1.00 64.78 0.19 0.49 11.26 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  17.30 4.37 1.01 65.13 0.19 0.50 11.38 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 17.52 4.33 0.95 65.03 0.19 0.51 11.33 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 17.64 4.40 0.99 64.86 0.19 0.50 11.29 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 17.44 4.34 0.98 65.08 0.19 0.50 11.34 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 17.29 4.33 0.98 65.19 0.18 0.50 11.40 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 17.41 4.30 0.97 65.13 0.19 0.50 11.37 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 17.57 4.28 1.01 64.96 0.20 0.50 11.36 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 17.53 4.22 0.98 65.07 0.19 0.51 11.37 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 17.69 4.34 0.98 64.88 0.20 0.50 11.28 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 17.81 4.53 1.03 64.64 0.19 0.49 11.18 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 17.57 4.27 0.99 65.04 0.19 0.50 11.33 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  17.22 4.29 0.98 65.25 0.19 0.50 11.43 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 17.84 4.20 0.95 64.87 0.19 0.51 11.31 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 17.61 4.22 1.03 64.99 0.18 0.50 11.33 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 17.48 4.37 0.95 65.06 0.19 0.51 11.32 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 17.45 4.35 1.00 65.05 0.19 0.50 11.34 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 17.21 4.42 1.02 65.16 0.19 0.50 11.36 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 17.80 4.45 1.00 64.73 0.19 0.49 11.21 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 17.59 4.37 0.96 64.96 0.19 0.50 11.28 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 17.40 4.44 0.97 65.02 0.20 0.50 11.34 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 17.54 4.47 1.01 64.86 0.19 0.49 11.30 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 17.89 4.25 1.01 64.80 0.18 0.49 11.25 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  17.58 4.20 0.97 65.04 0.19 0.50 11.38 0.02 0.10 0.01 0.00
