ROI net sum

Spectrum                                    Si      Ca    Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 1027716 1030492 69011
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  1023943 1029425 69211
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 1026583 1032310 69661
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 1028987 1033841 69650
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 1028394 1031047 69690
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 1027043 1030767 69521
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 1028253 1031543 69730
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 1027126 1029840 68780
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 1028841 1030839 68880
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 1026982 1032653 69846
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 1025461 1032212 69549
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 1029065 1032022 70041
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  1023816 1030460 69871
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 1026434 1030996 69442
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 1025430 1031422 69679
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 1026701 1031361 69398
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 1026658 1030852 69427
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 1026748 1029892 69609
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 1025701 1030714 69711
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 1025100 1030230 69447
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 1027310 1031164 69563
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 1026236 1028888 69238
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 1025212 1029075 68988
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  1082963 1088349 71607
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  1078180 1084536 72265
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 1075552 1085237 72740
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 1076587 1083416 71964
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 1076086 1084629 71456
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 1077281 1082178 72082
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 1077475 1083028 71215
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 1078774 1085858 71613
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 1079486 1083746 71832
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 1079267 1084787 72093
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 1078684 1084406 72244
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 1079368 1087166 72216
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  1078768 1084573 71932
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 1078252 1084711 72104
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 1079486 1084102 72666
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 1080923 1085303 71589
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 1079898 1085604 72494
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 1079343 1084356 72688
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 1078554 1087184 71946
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 1078028 1084211 71633
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 1080637 1086904 72375
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 1079359 1085635 71857
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 1077692 1085967 72422
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  1077720 1085286 71374
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 1080373 1087000 72045
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 1077242 1082695 71812
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 1081650 1086490 71805
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 1080185 1087694 71762
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 1080035 1085419 73076
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 1077771 1085519 71117
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 1079198 1085669 72137
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 1077706 1087871 71745
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 1080154 1087616 72738
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 1077293 1084518 71894
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  1079242 1087492 72028
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 1079371 1086057 72764
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 1078170 1084657 72523
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 1078710 1085648 71643
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 1079130 1084259 72242
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 1075543 1084060 71798
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 1079358 1085698 71929
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 1079351 1086110 72545
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 1079332 1085559 72381
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 1079004 1085558 72320
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 1079119 1087432 72045
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  1080982 1088601 72098
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 1078992 1086037 72228
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 1080226 1085438 72194
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 1079519 1086875 71835
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 1076458 1084863 70889
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 1077786 1085763 71846
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 1079822 1085460 71864
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 1079693 1085377 72148
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 1081138 1087575 71550
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 1080579 1087159 71536
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 1080423 1087423 72362
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  1077303 1086119 72388
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 1080881 1087345 73029
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 1079861 1088481 71886
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 1078856 1087513 71432
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 1080324 1087063 72184
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 1078203 1084318 72095
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 1078646 1088212 72535
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 1078189 1084783 71661
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 1082241 1087513 71375
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 1079056 1086513 72212
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 1079201 1087262 71977
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  1078585 1084003 72229
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 1080772 1086612 71737
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 1080059 1087041 73350
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 1079384 1087346 72310
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 1079083 1086388 72207
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 1080138 1084819 71751
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 1078729 1085954 72738
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 1080545 1086777 72412
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 1077610 1085326 71887
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 1077329 1086622 71833
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 1082095 1087043 72269
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  1076345 1082899 72054
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 1080902 1086541 71751
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 1080478 1085250 72313
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 1080355 1086941 71892
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 1078956 1086407 71754
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 1079128 1084354 72471
