Atomic percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47 18.01 4.84 1.73 63.69 0.19 0.53 10.90 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48 17.71 4.89 1.71 63.85 0.20 0.53 10.98 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49 17.53 4.89 1.71 63.97 0.20 0.53 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5  17.53 4.86 1.76 63.99 0.19 0.53 11.02 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 18.47 4.99 1.75 63.20 0.19 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51 17.70 4.81 1.75 63.89 0.19 0.53 11.01 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 17.64 4.90 1.72 63.91 0.19 0.53 10.99 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 17.97 4.90 1.74 63.62 0.20 0.52 10.93 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 17.77 4.86 1.75 63.79 0.20 0.53 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 17.73 5.02 1.74 63.71 0.19 0.53 10.95 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 18.01 4.87 1.71 63.65 0.20 0.53 10.92 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 18.30 4.99 1.77 63.34 0.19 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 18.05 4.94 1.78 63.50 0.19 0.53 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 18.20 4.93 1.71 63.45 0.20 0.53 10.87 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  17.92 5.07 1.76 63.55 0.19 0.53 10.87 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 18.08 4.97 1.75 63.47 0.20 0.52 10.88 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 17.70 4.99 1.72 63.75 0.20 0.53 10.99 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 17.83 4.82 1.75 63.75 0.20 0.53 10.98 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 17.76 4.97 1.72 63.77 0.19 0.53 10.94 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 18.14 4.83 1.77 63.52 0.20 0.53 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 18.00 4.89 1.73 63.64 0.20 0.52 10.90 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 17.65 4.96 1.77 63.81 0.19 0.53 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 18.01 4.79 1.73 63.69 0.20 0.52 10.94 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 17.59 4.89 1.77 63.90 0.20 0.53 11.00 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 18.09 4.90 1.74 63.55 0.20 0.52 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  17.49 4.93 1.75 63.96 0.19 0.53 11.02 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 17.77 4.92 1.71 63.80 0.20 0.53 10.95 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 17.81 4.95 1.73 63.72 0.20 0.53 10.95 0.02 0.09 0.01 0.00
