Mass percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 13.87 4.00 1.64 63.49 0.22 0.75 15.78 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 14.29 4.13 1.71 63.09 0.21 0.76 15.57 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 13.92 4.15 1.67 63.32 0.21 0.75 15.71 0.04 0.19 0.04 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  14.11 4.17 1.68 63.19 0.21 0.75 15.63 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 13.94 4.14 1.68 63.32 0.22 0.75 15.71 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 14.12 4.08 1.66 63.27 0.21 0.75 15.66 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 14.20 4.16 1.72 63.12 0.21 0.75 15.58 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 14.21 4.14 1.72 63.12 0.21 0.75 15.60 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 14.00 4.16 1.71 63.23 0.21 0.76 15.66 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 14.43 4.20 1.72 62.96 0.21 0.74 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 14.06 4.21 1.68 63.22 0.21 0.76 15.61 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 14.42 4.21 1.68 62.98 0.21 0.74 15.50 0.04 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 14.15 4.09 1.63 63.24 0.21 0.76 15.66 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 14.37 4.15 1.68 63.03 0.22 0.76 15.54 0.03 0.18 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  14.11 4.13 1.68 63.19 0.20 0.77 15.67 0.03 0.18 0.03 0.00
