Mass percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47 14.30 3.59 0.93 64.10 0.21 0.69 15.91 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48 14.05 3.71 0.93 64.16 0.21 0.69 15.97 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49 14.02 3.72 0.92 64.17 0.21 0.69 16.00 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5  13.96 3.64 0.96 64.26 0.22 0.69 16.02 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 14.88 3.84 0.96 63.57 0.21 0.67 15.62 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51 14.16 3.61 0.95 64.15 0.21 0.69 15.97 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 13.94 3.65 0.93 64.29 0.21 0.69 16.03 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 14.30 3.71 0.95 63.98 0.21 0.68 15.90 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 14.12 3.66 0.97 64.12 0.21 0.69 15.96 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 14.09 3.79 0.96 64.06 0.21 0.70 15.94 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 14.34 3.60 0.89 64.07 0.21 0.69 15.94 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 14.66 3.80 0.99 63.75 0.21 0.67 15.66 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 14.43 3.71 0.96 63.89 0.21 0.69 15.86 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 14.53 3.69 0.91 63.87 0.22 0.69 15.84 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  14.22 3.80 0.96 64.00 0.21 0.69 15.87 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 14.38 3.74 0.96 63.90 0.22 0.68 15.86 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 14.01 3.74 0.91 64.12 0.22 0.70 16.04 0.03 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 14.23 3.60 0.93 64.08 0.21 0.70 15.99 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 14.12 3.72 0.91 64.14 0.21 0.69 15.94 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 14.55 3.66 0.97 63.84 0.22 0.68 15.81 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 14.35 3.69 0.95 63.99 0.21 0.69 15.87 0.04 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 14.08 3.75 0.96 64.12 0.21 0.69 15.93 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 14.40 3.63 0.94 63.99 0.22 0.68 15.89 0.03 0.19 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 13.92 3.66 0.97 64.25 0.22 0.70 16.03 0.04 0.20 0.03 0.00
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 14.40 3.69 0.95 63.95 0.22 0.68 15.86 0.03 0.19 0.03 0.00
