Net counts

Spectrum                                 Na   Mg    Al      Si    S    Cl      K      Ca   Ti     V    Mn    Fe    Ni    Zn   Rb    Sr   Zr    Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 6860 7607 10337 1123892 6767     0  25901 1257417 4284     0  2062 82436  1344 10336 4708 23938 7642 87808     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42 6541 7626 10479 1122522 6728     0  24319 1258473 4572   229  1934 81710  1295  9907 4797 23990 7376 86604     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43 6636 7543 10546 1119928 6837     0  24841 1256274 4460    89  1627 81676  1513  9773 4325 22692 7082 86387     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44 6742 7597 10575 1121763 6583     0  27816 1256314 4421   487  1667 81535  1493 10265 4380 23408 6946 86990     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_45 6880 7559 10240 1120530 6880    19  27038 1254612 4488    51  1528 82434   947  9863 4452 23440 7642 87040     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_46 6968 7730 10641 1119967 6938     0  30064 1257714 4589   174  1557 82231  1598 10573 4685 24122 7105 86800     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47 6853 7627 10484 1126002 6431     0  26598 1257971 4141   140  1792 82714  2141 10236 4817 23305 7257 87507     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48 6736 7716 10386 1124323 6721    92  25521 1258207 4644   448  1470 81966  1593 10079 5254 24699 7699 86675     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49 6592 7647 10326 1122615 6716     0  28931 1257930 4388   315  1303 82077  1446 10161 4810 24360 7897 87478     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5  6602 7616 10616 1124898 6524     0  28738 1258987 4277   381  1752 81657  1770 10609 4914 24379 7023 86812     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 7100 7864 10659 1123722 6745     0  28267 1257163 4635   260  1365 81874  1555 10488 4325 23364 7429 86318     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51 6659 7520 10578 1124177 6568   112  32222 1259059 4381   349  1414 81801  1474 10812 4865 22756 7412 86503     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 6697 7717 10435 1124808 6432     0  25538 1257621 4531     0  1465 81839  1413 10052 4958 23411 7071 86272     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 6829 7698 10505 1119900 6698    38  26458 1256095 4229   189  1773 82180  1351  9938 4607 23861 7201 87022     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 6768 7658 10606 1123074 6770     0  28514 1257968 4357    34  1972 82712  2377  9742 5468 24079 7512 86716     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 6743 7909 10537 1122595 6745     0  27460 1258465 4249   446  1971 82209  1419 10569 4919 23907 7360 85984     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 6867 7677 10371 1123214 6687     0  22859 1258005 4276   262  1233 81623  1651 10065 4555 23515 6938 86145     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 7031 7891 10795 1126160 6653     0  25073 1256598 4302    85  1376 81062  1459  9989 4655 23637 7110 86534     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 6870 7772 10765 1121975 6536     0  25840 1259081 4432   227  1882 82502  1290 10843 4469 24011 7301 86847     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 6940 7758 10368 1123709 6805     0  30823 1259975 4328   209  1702 82929  1905 10760 4456 23893 7560 86508     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  6834 7995 10700 1123541 6399    36  26962 1257612 4267    93  1357 82293  1356 10529 4674 23710 6915 86444     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 6888 7813 10629 1121518 6739    59  26086 1258987 4607   197  1442 81987  1319 10122 4356 23541 6764 86770     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 6695 7845 10389 1122301 6683     0  24875 1261018 4288   136  1874 82397  1714  9712 4359 24065 6845 87293     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 6729 7570 10599 1122653 6914   235  26286 1259791 4442   471  1645 82130  1521 10458 3870 23508 7993 86704     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 6746 7824 10442 1124684 6588     0  28168 1257197 4333    49  1365 81721  1015 10613 4810 23964 7580 87135     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 6907 7585 10719 1124588 6886     0  29026 1260637 4525   413  1659 82880  1797 10209 4978 23596 7489 87017     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 6854 7690 10472 1123435 6637     0  26637 1256802 4517     0  1760 82261  1601 10499 4114 23897 7655 86226     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 6665 7770 10705 1123947 6567     0  26388 1257448 4424    74  1507 82021  1638 10852 4331 23825 8043 86390     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 6834 7520 10486 1123346 6874    11  27036 1258314 4195   258  1366 82206  1505  9757 4728 23711 7163 86404     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 6645 7688 10696 1124008 6798     0  26500 1257789 4630   591  2059 82234  1486 10021 4773 23327 7484 87024     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 6881 7692 10515 1122629 6772    11  23921 1257705 4412   207  1794 81440  1638  9544 4330 23985 6692 86477     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  6554 7697 10516 1121613 6544     0  24213 1256400 4163    72  1641 81964  1891 10268 4329 23495 7419 87076     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 6771 7769 10387 1125941 6794    52  23507 1258587 4243     0  1314 82239  1605  9929 4340 23266 6568 86863     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 6721 7749 10439 1121870 6788     0  26405 1257313 4632   360  1094 82007  1378  9818 4092 23875 7742 86402     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 6630 7662 10441 1123650 6687    68  21221 1256537 4426   138  1853 81760  1311  9789 3920 23911 7323 85952     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 6642 7691 10268 1122950 6364     0  23640 1257988 4380     0  1751 82261  1963 10588 5084 23622 6767 86311     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 6562 7580 10423 1123466 6722    79  23585 1257357 4401   369  1516 81622  1686 10341 4725 24403 7224 86294     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 6691 7647 10711 1121371 6781     0  26916 1258819 4228   137  1363 81790  1616 10461 4617 23539 7646 86808     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 6722 7615 10621 1123000 6627     0  26664 1258102 4523   428  1899 82382  1889  9865 4595 23256 7418 87656     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 6800 7614 10369 1122482 6904    94  26451 1256251 4293   485  1392 82067  2098 10234 4690 23059 7466 86526     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 6851 7877 10586 1121140 6642     0  23164 1253872 4322   542  1585 82252  1607 10540 4016 23904 7124 86104     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 6763 7553 10348 1124453 6602     0  26015 1257610 4676   419  1520 82253  1153 10691 4528 23567 7214 86299     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  6615 7711 10433 1120425 6671     0  22115 1256427 4520   414  1643 81274  1621 10582 4634 23334 7271 86828     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 6890 7577 10335 1123411 6553     0  27394 1259395 4574   470  1530 82110  1422 10298 4929 24126 6664 87147     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 6790 7525 10629 1126164 6462     0  26803 1261124 4703   247  2255 81932  1401 10089 4863 23929 7103 87306     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 6767 7921 10498 1125811 6567     0  28133 1256760 4399   214  1384 81707  1384  9847 4580 23438 7987 87231     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 6665 7766 10608 1123100 6674    45  24873 1257176 4502   254  1684 82200  1339 10471 3934 23206 7260 87097     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 6567 7743 10631 1124560 6816     0  25295 1257487 4567   231  1656 82607   734  9777 4877 24154 6894 86968     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 6873 7738 10428 1123312 6486     0  28876 1255598 4560   252  1478 82132  1560 10175 4956 23949 7561 85759     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 6746 7683 10292 1125126 6716     0  22067 1256375 4308   309  1112 81705  1603 10321 4779 23763 7178 85792     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 6746 7946 10453 1123724 6887     0  25874 1259123 4350   132  1294 81787  1373 10176 5188 23699 7328 87472     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 6860 7977 10729 1122298 6745    40  24872 1259226 4455   111  1309 82208  1984  9657 4116 23566 7395 86970     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 6902 7706 10767 1125319 6472   202  24802 1258753 4351   191  1514 82145  1477 10345 4316 23884 8009 87754     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  6737 7618 10548 1120671 6731     0  26102 1257326 4365   277  1840 81520   914  9631 4632 24059 7086 87403     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 6703 7788 10462 1123237 6762    84  27420 1258326 4385   280  1463 81443  1554 10646 4549 23646 7859 86870     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 6714 7654 10557 1122948 6725     0  27841 1258341 4268    58  1458 82361  1624  9398 4998 23835 7327 87313     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 6772 7523 10618 1123383 6700    85  26496 1258576 4067   168  1207 81323  1659 10070 5162 23613 7522 86824     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 6753 7465 10509 1123091 6957    77  30292 1257633 4562   505  1545 81623  1589 10401 4275 23442 7229 86892     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 6561 7665 10426 1123514 6830     0  27481 1255212 4622   454  2209 81691   894  9664 4367 23427 7362 86770     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 6710 7487 10592 1121866 6568    64  24346 1256345 4302   585  1529 81666  1783 10040 4709 23734 7441 86434     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 6732 7845 10232 1122154 6544     0  27145 1257184 4302     0  1387 82091  1467  9989 4316 23928 7194 86987     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 6760 7960 10619 1123973 6886    30  27949 1257728 4440   109  1549 81541  1426  9830 5035 24468 7273 86703     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 6554 7707 10582 1123377 6729    47  25900 1255005 4371   326  1533 81325  1979 10745 4604 23543 6711 85917     0
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 6842 7513 10609 1121690 6644   129  27750 1255305 4338   192  1785 81775  1892 10763 4724 23442 8034 86170     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  6887 8041 11466 1193306 6686  1560 167371 1334826 4504   167  1757 86763  1625 10209 4923 25546 7573 89663     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  7058 7952 11342 1188734 6765  1503 166244 1330809 4658   280  1691 87401  1770  9990 4456 24641 7781 89927     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 7078 8109 11393 1186520 6766  1064 172439 1332521 4772   411  1734 86385  1593 10119 4443 24890 7902 90172     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 6982 7977 11382 1187049 6789  1479 165142 1329841 4701   187  1608 86163  1817 10010 4785 24315 7502 89020     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 6928 7884 11456 1185944 6460  1131 167514 1330840 4925   396  1846 86503  1056 10208 4718 25378 7685 88838     0
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 6857 8155 11348 1187130 6677  1246 166501 1327800 4927   451  1768 87530  2105 10809 4924 24849 7579 88922     0
