ROI sum

Spectrum                                  Na    Mg    Al      Si     S    Cl     K      Ca    Ti     V    Mn    Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D1_0_4   9876 10516 14000 1029277 10492 23077 31373 1035043 10028 11479 20709 90809 38792 59656 69723 80364 55964  95905  9583
SRM_1831_300s_100_repeat_Rh_FE_D1_0_40  9757 10707 13851 1027091 10568 22615 31351 1032493  9768 11525 20619 91142 38259 59256 69836 80636 55368  95757  9568
SRM_1831_300s_100_repeat_Rh_FE_D1_0_41 10005 10642 13796 1028950 10492 23168 31387 1035145  9777 11263 20894 91215 38655 59544 70054 80366 55930  96869  9411
SRM_1831_300s_100_repeat_Rh_FE_D1_0_42  9829 10625 14070 1027358 10536 23226 31261 1035208 10017 11336 20964 90576 38528 59154 69618 80149 55319  95623  9510
SRM_1831_300s_100_repeat_Rh_FE_D1_0_43  9806 10523 14003 1025027 10440 23009 31605 1034275  9942 11423 20874 91032 38740 59399 69860 79599 55326  95644  9487
SRM_1831_300s_100_repeat_Rh_FE_D1_0_44  9896 10578 14009 1027100 10482 23112 31187 1034482  9784 11619 20728 90769 38679 59618 69955 80237 55514  96170  9461
SRM_1831_300s_100_repeat_Rh_FE_D1_0_45 10027 10501 13884 1025214 10720 22908 31410 1032134  9853 11281 20633 91248 38418 59445 69757 80033 55739  95971  9659
SRM_1831_300s_100_repeat_Rh_FE_D1_0_46 10092 10655 14140 1025842 10612 22820 31493 1035704  9951 11301 20514 90776 38804 59813 70162 80712 55814  95928  9635
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47  9920 10563 13976 1031240 10311 23098 31643 1034841  9756 11351 20773 91309 39154 59841 70467 80245 55691  96218  9574
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48  9855 10726 13932 1029427 10570 23136 31381 1035654  9889 11524 20557 90894 38789 59322 70026 80837 55540  96128  9695
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49  9845 10751 13872 1028533 10478 22812 31298 1036204  9812 11507 20638 91272 38728 59363 69976 80631 55925  96431  9452
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5   9727 10541 13988 1029723 10537 23028 31444 1035664  9753 11615 20920 90668 38390 59769 70315 80837 55939  95666  9652
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50 10177 10787 13999 1029017 10466 23011 31410 1034743 10023 11446 20535 91018 38521 59506 69992 80427 55734  95388  9481
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51  9819 10553 14099 1028996 10377 23010 31591 1035361  9853 11548 20584 90689 38511 59884 70216 79558 55468  95561  9656
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52  9883 10688 14009 1030363 10277 22848 31310 1035148  9984 11402 20698 90978 38598 59276 70282 80209 55610  95231  9694
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53  9945 10732 14107 1025377 10470 22981 31180 1034308  9793 11464 20829 90951 38428 59325 69946 80543 55724  96134  9609
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54  9958 10717 14118 1028569 10471 22953 31427 1036119  9874 11351 20985 91232 38889 59080 70338 80616 55683  96076  9520
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55  9847 10894 14038 1027885 10528 22836 31679 1036145  9764 11581 20982 90960 38916 59872 70048 80526 55673  95190  9575
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 10020 10700 13812 1028110 10364 22690 31440 1035518  9859 11471 20494 91074 38806 59380 69678 80304 55382  95640  9556
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 10074 10768 14158 1031024 10563 23047 31336 1034838  9895 11519 20874 90859 39018 59200 70024 80377 55391  96025  9664
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58  9952 10693 14182 1027100 10433 22983 31522 1036321  9809 11453 20961 91468 38581 60013 69776 80443 55489  96189  9708
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 10053 10658 13989 1028652 10494 22803 31626 1036095  9887 11489 20703 91349 38715 59656 69728 80556 55795  96045  9505
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6   9982 10882 14145 1028001 10401 22986 31585 1035174  9972 11392 20460 91140 38506 60086 69723 80096 55459  96162  9704
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60  9980 10725 14028 1026266 10527 23122 31297 1035395  9917 11459 20542 91121 38365 59348 70128 80531 55208  96158  9735
