Mass percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
----------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0   14.50 4.20 1.70 63.16 0.22 0.72 15.25 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_1   14.70 4.23 1.67 63.00 0.22 0.72 15.21 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_10  14.79 4.33 1.69 62.91 0.22 0.71 15.12 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_11  14.53 4.23 1.69 63.06 0.22 0.73 15.29 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_12  14.21 4.27 1.67 63.28 0.22 0.73 15.37 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_13  14.72 4.22 1.70 62.92 0.23 0.72 15.24 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_14  15.04 4.21 1.69 62.76 0.22 0.72 15.12 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_15  14.87 4.16 1.66 62.92 0.22 0.72 15.21 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_16  14.85 4.29 1.66 62.85 0.22 0.72 15.16 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_17  14.83 4.26 1.66 62.90 0.22 0.72 15.17 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_18  14.67 4.17 1.64 63.05 0.22 0.73 15.28 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_19  14.77 4.20 1.68 62.96 0.22 0.72 15.21 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_2   14.61 4.25 1.66 63.07 0.22 0.72 15.23 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_3   14.70 4.18 1.65 63.08 0.22 0.72 15.22 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_4   14.66 4.25 1.67 63.02 0.22 0.71 15.24 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_5   14.74 4.24 1.69 62.94 0.22 0.72 15.21 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_6   14.70 4.18 1.67 63.00 0.22 0.72 15.26 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_7   14.55 4.27 1.67 63.05 0.22 0.72 15.27 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_8   14.65 4.23 1.67 63.03 0.22 0.72 15.23 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_0_9   14.32 4.33 1.63 62.91 0.23 0.73 15.60 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_0  14.71 4.32 1.68 62.92 0.22 0.72 15.18 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_1  14.65 3.82 1.65 63.25 0.21 0.73 15.44 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_10 14.59 4.27 1.66 62.95 0.23 0.72 15.34 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_11 14.73 4.29 1.66 62.93 0.22 0.71 15.21 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_12 14.82 4.11 1.65 62.97 0.22 0.72 15.26 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_13 14.86 4.27 1.68 62.84 0.23 0.72 15.17 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_14 14.76 4.23 1.67 62.95 0.22 0.72 15.20 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_15 14.35 4.39 1.65 63.12 0.22 0.72 15.30 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_16 14.77 4.26 1.69 62.91 0.22 0.72 15.18 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_17 14.64 4.17 1.64 63.05 0.23 0.72 15.29 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_18 14.33 4.15 1.69 63.20 0.23 0.73 15.42 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_19 14.40 4.24 1.68 63.16 0.23 0.73 15.32 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_2  14.63 4.31 1.67 63.00 0.22 0.71 15.21 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_1_10_3  14.77 4.18 1.68 62.96 0.22 0.71 15.24 0.03 0.18 0.03 0.00
