Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     Fe    Sr     Rh
SRM_1831_300s_20x20det_2_11_6  10832 11800 17145 1829368 10055 51432 2044501  7475 130334 39451 135445
SRM_1831_300s_20x20det_2_11_7  10449 11958 17073 1833202 10049 50753 2043129  7002 130533 40552 134847
SRM_1831_300s_20x20det_2_11_8  10385 11632 16937 1828303  9852 50811 2044022  7485 130970 40198 135441
SRM_1831_300s_20x20det_2_11_9   6376  7053 10255 1098654  5965 30729 1226544  4540  78660 24211  80693
SRM_1831_300s_20x20det_2_12_0  10778 12122 17101 1829869  9963 50707 2044384  7290 131042 38769 135087
SRM_1831_300s_20x20det_2_12_1   4374  5041  7112  767254  4235 21598  857517  3009  54085 16486  56611
SRM_1831_300s_20x20det_2_12_10 10669 12099 17029 1833266  9872 51170 2046337  7380 130805 40150 135850
SRM_1831_300s_20x20det_2_12_11 10906 12051 16795 1826272  9703 51057 2043518  7203 131289 40462 134584
SRM_1831_300s_20x20det_2_12_12 10657 12226 17137 1825641 10073 51305 2040374  7302 131557 40402 135085
SRM_1831_300s_20x20det_2_12_13 10385 11985 17137 1830412 10093 51016 2045948  7092 130005 40626 135838
SRM_1831_300s_20x20det_2_12_14 10732 11928 17466 1830054 10006 51555 2045250  7172 129781 40973 134230
SRM_1831_300s_20x20det_2_12_15 10652 12083 17057 1826086 10242 50094 2043841  7352 131296 40008 134638
SRM_1831_300s_20x20det_2_12_16 10690 11924 16846 1826554  9633 50953 2043182  7194 130725 39772 135757
SRM_1831_300s_20x20det_2_12_17 10761 11854 17435 1829474  9760 51033 2040556  7127 131324 40570 135052
SRM_1831_300s_20x20det_2_12_18 10935 12126 16665 1828595  9918 51444 2043988  7468 131708 39852 135209
SRM_1831_300s_20x20det_2_12_19  8037  8773 12457 1363532  7193 38161 1523458  5264  97853 29529 100864
SRM_1831_300s_20x20det_2_12_2  10339 12002 17516 1830207 10079 51290 2045785  7342 130799 39454 135523
SRM_1831_300s_20x20det_2_12_3  10780 12162 17474 1829493 10123 50945 2043197  7339 130879 39421 135399
SRM_1831_300s_20x20det_2_12_4  10517 12075 17403 1831466 10170 50566 2044524  7038 131504 39903 136010
SRM_1831_300s_20x20det_2_12_5   7161  8194 11911 1273305  7199 35415 1424390  5139  91443 27920  93456
SRM_1831_300s_20x20det_2_12_6  10846 12330 17295 1826350 10122 50802 2042315  6889 131078 40341 135445
SRM_1831_300s_20x20det_2_12_7  10479 11966 17257 1828539  9791 50590 2041294  7146 130856 40241 134724
SRM_1831_300s_20x20det_2_12_8  10488 11707 16965 1831183  9960 50785 2044675  7343 131869 40518 137163
SRM_1831_300s_20x20det_2_12_9  10498 12234 17237 1831015 10115 51162 2042604  7523 131463 39804 135669
SRM_1831_300s_20x20det_2_13_0   5034  5525  8057  887495  4623 24615  990875  3572  63485 18672  65374
SRM_1831_300s_20x20det_2_13_1  10547 11981 17338 1827936  9772 51210 2040362  7706 130164 40120 135701
SRM_1831_300s_20x20det_2_13_10 10787 12114 17290 1834107 10046 50797 2047449  7209 131186 40119 134802
SRM_1831_300s_20x20det_2_13_11 10662 11964 16892 1834446 10393 51643 2048217  7208 132083 40335 136431
SRM_1831_300s_20x20det_2_13_12 10457 11870 17008 1824320  9996 51019 2044390  7002 130884 39759 137025
SRM_1831_300s_20x20det_2_13_13 10439 11735 17079 1833602  9912 51021 2047306  7073 130296 40322 135148
SRM_1831_300s_20x20det_2_13_14 10746 11954 16786 1831741 10275 51393 2045462  7707 131599 40675 135789
SRM_1831_300s_20x20det_2_13_15 10554 11871 17433 1832740 10124 50999 2046173  7069 131631 40513 135480
SRM_1831_300s_20x20det_2_13_16 10586 11948 17036 1833098 10298 50745 2046104  7118 131232 39448 135410
SRM_1831_300s_20x20det_2_13_17 10620 11820 17010 1831592 10105 51232 2043918  7458 131374 41372 135107
SRM_1831_300s_20x20det_2_13_18 10692 12262 17203 1833897  9886 51200 2044699  7244 130938 39814 136217
SRM_1831_300s_20x20det_2_13_19 10761 11908 17085 1833002 10103 50955 2046733  7288 130961 40512 136626
SRM_1831_300s_20x20det_2_13_2  10637 12036 17224 1829616 10296 51299 2041832  7159 131613 40204 135462
SRM_1831_300s_20x20det_2_13_3  10513 12024 16909 1827784 10141 50570 2042817  7400 130939 40877 134865
SRM_1831_300s_20x20det_2_13_4  10405 12186 16963 1826441 10280 50530 2040604  7295 130387 40038 135920
SRM_1831_300s_20x20det_2_13_5  10584 11855 17015 1831293 10037 50427 2046177  7027 130621 40691 136507
SRM_1831_300s_20x20det_2_13_6  10810 12099 17125 1829567 10024 51015 2045158  6996 130684 40565 134896
SRM_1831_300s_20x20det_2_13_7  10576 11922 17038 1829689 10212 51565 2045961  7151 131253 40475 135345
SRM_1831_300s_20x20det_2_13_8  11047 12032 16944 1830715 10262 51377 2045298  7357 130510 40111 137106
SRM_1831_300s_20x20det_2_13_9  10661 12081 17193 1832240 10004 51382 2047225  6768 130491 40214 135263
SRM_1831_300s_20x20det_2_14_0  11010 12097 16925 1831711  9933 50519 2046711  6953 131073 39650 135100
SRM_1831_300s_20x20det_2_14_1  10933 12181 17075 1832133  9944 51608 2043805  7062 131402 40648 136053
SRM_1831_300s_20x20det_2_14_10 10686 12135 17051 1829973 10124 51424 2044515  7048 130432 40393 134227
SRM_1831_300s_20x20det_2_14_11 10531 12055 16994 1830239 10204 50846 2047296  7521 131911 40281 135908
SRM_1831_300s_20x20det_2_14_12   984  1172  1588  178988   879  4871  200656   609  12776  3645  12710
SRM_1831_300s_20x20det_2_14_13 10611 11999 17274 1836220 10312 51543 2049985  7357 132697 39837 136407
SRM_1831_300s_20x20det_2_14_14 10423 11873 16747 1830064 10282 51574 2042120  7644 130995 39505 136033
SRM_1831_300s_20x20det_2_14_15 10705 11882 16969 1831729 10105 51386 2046365  7426 130866 40368 135418
SRM_1831_300s_20x20det_2_14_16 10700 11862 17432 1831949 10472 51511 2045665  7166 131302 39785 135787
SRM_1831_300s_20x20det_2_14_17 10524 12084 17105 1829503  9950 50796 2041426  7228 131673 39898 134921
SRM_1831_300s_20x20det_2_14_18 10837 11584 16761 1832375  9909 51082 2046269  7005 130288 39546 135776
SRM_1831_300s_20x20det_2_14_19 10706 12068 17048 1830872 10110 51185 2045068  7264 130302 39606 136390
SRM_1831_300s_20x20det_2_14_2  10562 12021 17270 1829436  9795 51313 2040444  7356 129346 40221 135119
SRM_1831_300s_20x20det_2_14_3  10869 12208 17048 1831798 10351 50414 2045230  7338 131037 40651 136417
SRM_1831_300s_20x20det_2_14_4  10583 11952 16896 1830681 10463 51246 2040531  7129 131615 40045 134803
SRM_1831_300s_20x20det_2_14_5  10545 12002 16870 1830980  9784 51221 2043231  7143 131150 39862 135511
