Atomic percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
----------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_2_0_0   17.36 4.86 1.78 64.15 0.18 0.55 10.99 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_1   17.84 4.83 1.79 63.80 0.19 0.54 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_10  17.82 4.83 1.77 63.81 0.19 0.55 10.91 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_11  17.64 4.86 1.76 63.92 0.19 0.55 10.95 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_12  17.56 4.79 1.76 64.03 0.19 0.54 11.00 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_13  17.37 4.74 1.77 64.21 0.18 0.55 11.05 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_14  17.60 4.81 1.79 63.97 0.18 0.55 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_15  17.66 4.89 1.78 63.86 0.19 0.55 10.95 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_16  17.87 4.84 1.81 63.74 0.19 0.54 10.88 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_17  17.61 4.91 1.80 63.91 0.19 0.54 10.92 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_18  17.80 4.88 1.82 63.75 0.19 0.54 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_19  17.79 4.87 1.78 63.82 0.19 0.54 10.90 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_2   17.62 4.67 1.71 64.14 0.18 0.54 11.02 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_3   17.75 4.79 1.79 63.90 0.19 0.55 10.92 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_4   17.85 4.80 1.80 63.79 0.19 0.54 10.90 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_5   17.57 4.88 1.76 63.96 0.19 0.54 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_6   17.52 4.79 1.83 64.03 0.18 0.55 10.98 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_7   17.46 4.81 1.78 64.08 0.19 0.55 11.01 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_8   17.80 4.86 1.79 63.79 0.19 0.55 10.90 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_0_9   17.56 4.80 1.78 63.80 0.19 0.56 11.19 0.02 0.10 0.01 0.00
SRM_1831_300s_20x20det_2_10_0  17.62 4.79 1.81 63.95 0.19 0.55 10.97 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_10_1  17.57 4.89 1.81 63.92 0.19 0.54 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_2_10_10 17.29 4.79 1.76 64.09 0.19 0.56 11.19 0.02 0.10 0.01 0.00
