Net counts

Spectrum                                 Na   Mg   Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52 6059 6191 5526 1111784 5699 27529 1235673 4403 81308 21351 78283
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53 6253 6293 5635 1106851 5944 27299 1234193 4149 81504 22202 79400
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54 6165 6217 5782 1110340 5908 27577 1235915 4255 81965 22092 79863
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55 6161 6438 5703 1109837 5872 27829 1236618 4242 81451 22156 78984
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56 6268 6096 5307 1110126 5957 27422 1235641 4240 80918 21526 78707
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 6521 6492 5972 1113282 5850 27319 1234505 4239 80608 21906 79320
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 6339 6302 5720 1108913 5756 27580 1236729 4331 81741 21838 79523
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 6398 6261 5410 1110726 6114 27684 1237878 4125 82404 21866 79773
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  6242 6463 5713 1110540 5757 27518 1235251 4153 81408 21495 79225
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 6319 6363 5726 1108870 6009 27340 1236406 4482 81068 21805 79595
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 6096 6337 5399 1108746 5976 27907 1238957 4242 81705 21999 79601
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 6206 6090 5535 1109502 5950 27798 1237465 4437 81314 21655 79537
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 6168 6312 5401 1111553 5943 27537 1235307 4248 81138 22185 79776
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 6421 6238 5814 1111519 6168 27540 1238177 4383 81825 21345 79779
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 6295 6266 5647 1110277 5814 27494 1234925 4434 81694 22366 78767
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 6151 6374 5740 1110766 5829 27479 1235248 4371 81346 21990 79054
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 6314 6153 5586 1110306 6019 27347 1236294 4185 81614 21683 78900
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 6048 6202 5784 1110882 6032 27600 1235907 4546 81646 21097 80002
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 6319 6267 5657 1109391 6046 27165 1235457 4338 80826 21933 79259
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  6068 6314 5687 1108780 5859 27315 1234413 4052 81622 21644 79599
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 6183 6279 5396 1112633 6064 27682 1236913 4170 81570 21772 79966
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 6237 6374 5566 1108942 6089 27512 1235471 4477 81343 21812 79189
