ROI net sum

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     Fe    Sr     Rh
SRM_1831_300s_20x20det_2_11_6  13883 14150 19737 1655420 12485 44236 1647119  6657 104866 34482 111067
SRM_1831_300s_20x20det_2_11_7  13508 14331 19707 1658888 12461 43825 1647012  6256 105066 34753 110493
SRM_1831_300s_20x20det_2_11_8  13461 13898 19638 1654847 12391 43720 1647829  6696 104988 34470 110372
SRM_1831_300s_20x20det_2_11_9   8227  8491 11845  994219  7450 26587  989558  4118  63336 21111  66637
SRM_1831_300s_20x20det_2_12_0  13750 14443 19679 1657270 12570 43819 1647470  6568 104913 33697 111776
SRM_1831_300s_20x20det_2_12_1   5741  6140  8253  695509  5271 18716  692360  2855  44129 14824  47018
SRM_1831_300s_20x20det_2_12_10 13537 14224 19586 1659860 12459 44017 1650133  6706 105272 34469 110828
SRM_1831_300s_20x20det_2_12_11 13929 14294 19423 1653787 12050 44083 1647908  6237 105255 34773 109687
SRM_1831_300s_20x20det_2_12_12 13440 14271 19624 1652426 12475 44120 1644934  6444 105219 34689 110511
SRM_1831_300s_20x20det_2_12_13 13394 14200 19789 1657214 12536 43933 1649643  6444 103979 34919 111226
SRM_1831_300s_20x20det_2_12_14 13770 14287 19928 1657460 12554 44365 1649018  6268 104442 34996 109990
SRM_1831_300s_20x20det_2_12_15 13512 14230 19871 1653135 12587 43147 1647723  6499 105168 34280 110396
SRM_1831_300s_20x20det_2_12_16 13538 14135 19489 1653678 12223 43975 1648255  6393 105175 34024 110988
SRM_1831_300s_20x20det_2_12_17 13526 14023 19808 1656099 12339 44030 1647069  6406 105749 34479 110619
SRM_1831_300s_20x20det_2_12_18 13765 14295 19221 1655365 12340 44247 1648825  6470 105346 34432 110685
SRM_1831_300s_20x20det_2_12_19 10263 10573 14550 1234265  9089 32975 1227935  4886  78819 25574  82255
SRM_1831_300s_20x20det_2_12_2  13284 14361 19922 1657091 12573 44139 1649583  6420 105024 34232 111070
SRM_1831_300s_20x20det_2_12_3  13508 14235 19835 1656260 12669 43993 1647816  6369 105050 34243 110591
SRM_1831_300s_20x20det_2_12_4  13503 14402 19902 1658020 12548 43552 1648828  6061 105624 34311 111186
SRM_1831_300s_20x20det_2_12_5   9311  9773 13766 1152451  8855 30577 1147836  4583  73988 24222  76742
SRM_1831_300s_20x20det_2_12_6  13710 14387 19967 1653407 12591 43844 1646975  6059 105245 34378 110772
SRM_1831_300s_20x20det_2_12_7  13407 14237 19823 1655287 12354 43592 1645355  6297 105238 34784 110424
SRM_1831_300s_20x20det_2_12_8  13514 14015 19696 1657717 12483 43844 1648576  6733 105949 34735 112028
SRM_1831_300s_20x20det_2_12_9  13371 14451 19753 1657807 12714 44341 1648022  6624 105310 34597 110193
SRM_1831_300s_20x20det_2_13_0   6609  6757  9489  804079  5916 21449  799352  3242  51460 16749  54331
SRM_1831_300s_20x20det_2_13_1  13568 14232 19815 1655065 12206 44218 1646464  6878 105134 34625 110541
SRM_1831_300s_20x20det_2_13_10 13730 14364 20000 1660858 12429 43611 1650716  6539 105547 34531 110664
SRM_1831_300s_20x20det_2_13_11 13684 14240 19692 1660514 12647 44286 1650832  6287 106058 34398 111362
SRM_1831_300s_20x20det_2_13_12 13449 14154 19707 1651501 12688 44051 1648266  6264 104496 34030 111486
SRM_1831_300s_20x20det_2_13_13 13505 14152 19747 1659912 12250 44036 1650236  6234 104728 34606 110425
SRM_1831_300s_20x20det_2_13_14 13856 14379 19584 1658873 12989 44399 1649135  6656 105826 35020 110992
SRM_1831_300s_20x20det_2_13_15 13451 14138 20011 1658985 12655 43774 1650788  6124 105712 34445 110585
SRM_1831_300s_20x20det_2_13_16 13711 14286 19819 1658692 12790 43858 1649954  6354 105449 34049 110692
SRM_1831_300s_20x20det_2_13_17 13658 14112 19815 1658633 12542 44308 1647657  6637 104591 34950 110537
SRM_1831_300s_20x20det_2_13_18 13620 14555 19810 1660439 12531 44399 1649029  6206 104802 34532 111034
SRM_1831_300s_20x20det_2_13_19 13728 14235 19987 1659928 12545 43767 1650588  6407 104945 34797 111478
SRM_1831_300s_20x20det_2_13_2  13612 14326 19878 1655619 12682 44278 1645892  6415 105278 34676 110537
SRM_1831_300s_20x20det_2_13_3  13452 14190 19595 1655272 12666 43677 1647002  6568 105033 35100 110464
SRM_1831_300s_20x20det_2_13_4  13424 14519 19748 1653469 12759 43679 1644840  6373 104735 34118 110862
SRM_1831_300s_20x20det_2_13_5  13641 14167 19855 1658574 12653 43796 1649176  6249 104716 35009 111337
SRM_1831_300s_20x20det_2_13_6  13761 14307 19838 1656630 12602 44084 1649909  6155 105500 34236 110292
SRM_1831_300s_20x20det_2_13_7  13562 14220 19738 1656669 12741 44259 1649942  6289 105786 34885 110262
