ROI net sum

Spectrum                                 Na   Mg    Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 8787 9278 12883 1079519 8230 29015 1086875 4234 70586 22437 71835
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 8797 9250 13001 1076458 8127 28988 1084863 4311 70461 22033 70889
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 8772 9270 12911 1077786 8386 29123 1085763 4137 69974 22555 71846
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 9016 9483 13075 1079822 8342 28930 1085460 4274 70290 22818 71864
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 8761 9387 12717 1079693 8148 29215 1085377 4169 69810 22667 72148
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 8933 9281 12823 1081138 8220 28826 1087575 4399 69479 23113 71550
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 8950 9285 12532 1080579 8040 29127 1087159 4376 70327 22697 71536
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 8982 9289 12833 1080423 8344 29200 1087423 4229 69782 22751 72362
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  8755 9285 12815 1077303 8061 29139 1086119 4084 68984 22606 72388
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 8863 9317 12899 1080881 8106 28987 1087345 4442 69717 22739 73029
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 8879 9286 12586 1079861 8328 29064 1088481 4477 69381 22952 71886
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 8779 9152 12723 1078856 8277 28946 1087513 4357 69206 23094 71432
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 8815 9195 12907 1080324 8296 29194 1087063 4390 69848 23494 72184
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 8836 9487 13022 1078203 8391 28856 1084318 4362 69669 22765 72095
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 8972 9368 12599 1078646 8439 28956 1088212 4275 70043 22519 72535
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 8701 9280 12961 1078189 8428 28999 1084783 4575 69796 22783 71661
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 8934 9223 12669 1082241 8324 29003 1087513 4456 70330 22672 71375
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 8771 9213 12923 1079056 8367 29494 1086513 4259 69509 22859 72212
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 8675 9161 12454 1079201 8029 28826 1087262 4496 70043 22902 71977
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  8796 9347 12755 1078585 8167 29093 1084003 4264 69669 22511 72229
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 8978 9280 12546 1080772 8019 29021 1086612 4185 70149 23317 71737
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 8937 9303 12782 1080059 8302 28823 1087041 4577 70286 23027 73350
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 8927 9404 12967 1079384 8256 29258 1087346 4714 70333 22817 72310
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 9090 9244 12805 1079083 8370 28897 1086388 4193 69796 22871 72207
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 8839 9519 12886 1080138 8169 28867 1084819 4448 70069 22973 71751
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 8821 9160 12747 1078729 8085 28838 1085954 4292 69629 22506 72738
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 8898 9329 12879 1080545 8135 28513 1086777 4173 69725 22270 72412
