Atomic percent (%)

Spectrum                                  Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  17.27 4.82 1.79 64.15 0.19 0.54 11.12 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  17.70 4.78 1.77 63.85 0.19 0.54 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 17.72 4.89 1.78 63.72 0.19 0.54 11.03 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 17.54 4.80 1.78 63.93 0.19 0.55 11.07 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 17.48 4.76 1.80 63.99 0.18 0.55 11.11 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 17.26 4.91 1.78 64.08 0.19 0.55 11.10 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 17.15 4.86 1.76 64.21 0.19 0.55 11.15 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 17.75 4.75 1.76 63.85 0.19 0.54 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 17.31 4.85 1.77 64.11 0.19 0.54 11.10 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 17.60 4.86 1.78 63.86 0.19 0.55 11.05 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 17.21 4.84 1.77 64.16 0.19 0.55 11.15 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 17.55 4.77 1.73 63.99 0.18 0.54 11.11 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  17.57 4.74 1.80 63.96 0.19 0.55 11.06 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 17.51 4.88 1.77 63.94 0.17 0.55 11.07 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 17.64 4.78 1.78 63.89 0.19 0.55 11.04 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 17.67 4.78 1.77 63.90 0.19 0.54 11.03 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 17.57 4.87 1.80 63.87 0.18 0.55 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 17.65 4.88 1.80 63.81 0.19 0.54 11.01 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 17.38 4.79 1.78 64.07 0.18 0.54 11.13 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 17.78 4.80 1.84 63.74 0.18 0.54 11.00 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 17.49 4.79 1.77 64.00 0.19 0.55 11.08 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 17.13 4.88 1.78 64.20 0.18 0.55 11.16 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 17.53 4.76 1.78 63.98 0.18 0.54 11.10 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  17.52 4.83 1.84 63.88 0.18 0.55 11.07 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 17.24 4.84 1.76 64.16 0.18 0.55 11.15 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 17.61 4.90 1.78 63.85 0.18 0.54 11.02 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 17.27 4.94 1.80 64.03 0.19 0.55 11.09 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 17.20 4.76 1.81 64.20 0.19 0.55 11.16 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 17.88 4.88 1.78 63.64 0.19 0.55 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 17.67 4.88 1.76 63.79 0.18 0.54 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 17.92 4.84 1.75 63.66 0.19 0.54 10.99 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 17.65 4.88 1.79 63.78 0.18 0.54 11.05 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 17.48 4.83 1.75 63.97 0.19 0.55 11.10 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 17.43 4.87 1.75 64.00 0.19 0.54 11.10 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  17.46 4.86 1.81 63.92 0.19 0.55 11.09 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 17.25 4.86 1.77 64.12 0.19 0.55 11.14 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 17.49 4.92 1.76 63.92 0.18 0.55 11.06 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 17.42 4.94 1.78 63.92 0.19 0.55 11.08 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 17.45 4.89 1.77 63.95 0.19 0.55 11.07 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 17.47 4.86 1.79 63.92 0.19 0.55 11.09 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 17.53 4.80 1.76 63.97 0.19 0.55 11.07 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 17.33 4.85 1.80 64.05 0.19 0.55 11.11 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 17.17 4.68 1.73 64.34 0.19 0.55 11.21 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 17.66 4.83 1.80 63.82 0.19 0.55 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 17.23 4.86 1.76 64.14 0.19 0.55 11.15 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  17.44 4.87 1.77 63.96 0.19 0.55 11.09 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 17.25 4.84 1.77 64.13 0.19 0.54 11.15 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 17.46 4.77 1.75 64.05 0.19 0.54 11.11 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 17.56 4.86 1.81 63.86 0.19 0.54 11.05 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 17.56 4.84 1.82 63.86 0.18 0.54 11.06 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 17.32 4.87 1.80 64.03 0.19 0.55 11.11 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 17.83 4.90 1.81 63.65 0.19 0.54 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 17.39 4.92 1.77 63.99 0.19 0.55 11.07 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 17.81 4.92 1.77 63.67 0.19 0.54 10.98 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 17.50 4.78 1.72 64.02 0.19 0.55 11.11 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 17.75 4.85 1.77 63.75 0.20 0.55 11.02 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  17.45 4.83 1.78 63.97 0.18 0.56 11.11 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 17.60 4.84 1.80 63.86 0.18 0.55 11.05 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 17.76 4.87 1.74 63.75 0.19 0.55 11.03 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 17.19 4.70 1.77 64.27 0.19 0.55 11.21 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 17.48 4.73 1.78 64.04 0.19 0.55 11.11 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 17.43 4.93 1.80 63.93 0.19 0.54 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 17.81 4.85 1.73 63.72 0.19 0.54 11.03 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 17.21 4.85 1.82 64.13 0.19 0.55 11.14 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 17.48 4.77 1.73 64.05 0.18 0.55 11.10 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 17.53 4.84 1.78 63.90 0.19 0.55 11.08 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 17.35 4.83 1.73 64.10 0.18 0.55 11.14 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  17.52 4.96 1.79 63.85 0.19 0.55 11.02 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 17.62 4.79 1.74 63.95 0.18 0.54 11.06 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 17.68 4.80 1.78 63.83 0.19 0.54 11.04 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 17.75 4.86 1.80 63.72 0.19 0.55 11.00 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 18.34 4.85 1.78 63.32 0.19 0.54 10.87 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 17.52 4.98 1.79 63.84 0.19 0.54 11.01 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 17.79 4.79 1.77 63.78 0.18 0.54 11.02 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 17.51 4.85 1.80 63.93 0.18 0.54 11.05 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 17.56 4.84 1.78 63.88 0.19 0.55 11.08 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 17.40 4.81 1.78 64.02 0.19 0.55 11.14 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 17.57 4.74 1.77 63.97 0.19 0.55 11.08 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  17.39 4.75 1.76 64.11 0.18 0.55 11.13 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 17.53 4.98 1.77 63.84 0.18 0.54 11.03 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 17.24 4.76 1.82 64.18 0.19 0.55 11.13 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 17.15 4.89 1.76 64.17 0.20 0.55 11.16 0.02 0.10 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 17.56 4.87 1.77 63.87 0.18 0.55 11.07 0.02 0.09 0.01 0.00
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 17.50 4.92 1.77 63.89 0.19 0.54 11.05 0.02 0.09 0.01 0.00
