Net counts

Spectrum                                    Si      Ca    Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 1111345 1235788 79182
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  1107493 1234452 79677
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 1110322 1237737 79994
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 1112873 1239442 79522
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 1112194 1234815 80322
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 1109747 1235244 79855
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 1111225 1235459 79972
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 1110128 1233802 78947
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 1112035 1234342 78517
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 1110478 1236891 80173
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 1109217 1237463 79939
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 1112023 1237340 80076
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  1107105 1235710 80392
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 1110445 1236698 79592
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 1109856 1236624 79992
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 1110464 1236682 79674
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 1109666 1235735 79038
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 1110353 1233154 79544
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 1108790 1234065 79443
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 1109414 1235677 79619
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 1110621 1235772 79368
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 1110374 1233138 78899
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 1108377 1233385 79015
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  1179147 1310701 82398
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  1174334 1306455 82764
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 1172572 1308027 82805
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 1172609 1305995 81574
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 1171504 1306752 81613
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 1172866 1303441 81834
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 1174482 1305979 81611
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 1175242 1308869 82197
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 1176364 1306251 82508
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 1175219 1307940 82047
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 1174519 1306712 83249
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 1175664 1310471 82235
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  1175746 1306845 82408
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 1174736 1307464 82329
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 1175743 1306183 82438
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 1177841 1308340 81948
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 1176787 1309108 82241
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 1175563 1307263 82799
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 1174760 1309467 81982
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 1174561 1308208 81770
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 1176669 1308534 82483
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 1175086 1308573 82080
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 1173655 1308350 82366
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  1173786 1307814 81204
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 1176964 1310669 82463
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 1172960 1304223 82249
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 1177423 1309890 81827
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 1177220 1310578 82463
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 1176426 1308270 83564
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 1173832 1309042 81160
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 1175397 1309095 82420
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 1174847 1311213 81860
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 1176627 1311243 82487
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 1174125 1307455 82713
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  1175860 1311516 82032
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 1175768 1310175 83471
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 1175233 1307611 82623
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 1174424 1309138 81874
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 1175906 1307799 83025
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 1171163 1306481 81438
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 1176607 1308168 82322
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 1176257 1308917 82803
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 1175589 1308137 82774
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 1174648 1307957 82337
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 1175821 1309890 82842
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  1177281 1311786 82136
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 1176217 1310584 82208
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 1176428 1309098 82538
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 1175863 1309602 82473
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 1172731 1306772 80935
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 1174321 1308325 82427
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 1175750 1308710 82164
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 1177011 1308728 82042
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 1177661 1310627 82412
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 1177868 1310287 81986
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 1176705 1310635 82509
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  1173014 1308839 82947
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 1177397 1310868 84103
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 1176532 1312153 82341
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 1176030 1311346 80901
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 1177005 1309267 82474
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 1174246 1304473 81719
