Atomic percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_20x20det_1_11_16 17.86 4.99 1.74 63.72 0.20 0.53 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_17 17.60 4.77 1.71 63.82 0.20 0.54 11.23 0.02 0.10 0.01 0.00
SRM_1831_300s_20x20det_1_11_18 17.92 4.88 1.79 63.73 0.20 0.53 10.84 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_19 17.79 4.84 1.76 63.88 0.20 0.53 10.88 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_2  18.26 5.04 1.79 63.36 0.20 0.52 10.71 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_3  17.83 4.90 1.77 63.78 0.20 0.53 10.86 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_4  18.17 4.83 1.75 63.61 0.20 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_5  17.90 4.93 1.76 63.74 0.20 0.53 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_6  18.43 4.91 1.72 63.38 0.19 0.52 10.72 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_7  18.07 4.92 1.76 63.64 0.20 0.52 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_8  17.90 4.93 1.77 63.75 0.20 0.52 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_11_9  17.89 4.96 1.74 63.73 0.19 0.53 10.84 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_0  18.03 4.96 1.80 63.59 0.19 0.52 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_1  17.98 4.92 1.77 63.66 0.20 0.52 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_10 18.00 4.98 1.73 63.66 0.20 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_11 18.00 4.96 1.75 63.64 0.19 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_12 18.19 4.93 1.75 63.55 0.19 0.51 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_13 17.96 4.86 1.75 63.75 0.20 0.52 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_14 18.40 4.84 1.76 63.43 0.20 0.52 10.73 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_15 17.55 4.96 1.74 64.00 0.20 0.52 10.91 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_16 18.30 4.99 1.75 63.41 0.19 0.52 10.73 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_17 17.97 4.91 1.80 63.65 0.20 0.52 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_18 18.08 4.90 1.73 63.63 0.20 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_19 18.17 4.85 1.73 63.57 0.19 0.52 10.84 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_2  17.96 4.89 1.72 63.76 0.19 0.53 10.84 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_3  17.99 4.85 1.73 63.73 0.20 0.52 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_4  18.28 4.88 1.75 63.50 0.20 0.52 10.74 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_5  17.63 5.00 1.74 63.90 0.19 0.53 10.88 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_6  17.54 4.90 1.78 64.02 0.20 0.53 10.91 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_7  17.92 4.88 1.74 63.80 0.19 0.52 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_8  18.12 4.89 1.74 63.62 0.20 0.53 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_12_9  17.88 4.97 1.78 63.70 0.19 0.53 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_0  18.00 4.91 1.79 63.64 0.20 0.53 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_1  18.33 4.88 1.75 63.45 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_10 17.71 4.92 1.74 63.91 0.20 0.53 10.87 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_11 18.04 4.90 1.77 63.67 0.19 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_12 18.17 5.04 1.75 63.44 0.20 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_13 17.99 4.82 1.79 63.75 0.20 0.52 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_14 18.18 4.95 1.77 63.51 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_15 17.81 4.95 1.75 63.81 0.20 0.53 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_16 17.66 4.96 1.76 63.88 0.20 0.53 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_17 18.13 4.99 1.73 63.55 0.20 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_18 18.36 4.95 1.77 63.38 0.20 0.52 10.70 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_19 18.31 4.88 1.74 63.48 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_2  18.13 4.98 1.78 63.51 0.20 0.51 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_3  18.05 4.87 1.74 63.71 0.19 0.53 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_4  18.13 4.86 1.75 63.63 0.19 0.52 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_5  18.04 4.96 1.75 63.62 0.19 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_6  17.98 4.91 1.74 63.71 0.19 0.52 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_7  18.26 4.98 1.77 63.39 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_8  17.88 4.86 1.80 63.78 0.20 0.52 10.84 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_13_9  18.09 4.93 1.77 63.59 0.20 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_0  17.80 5.01 1.75 63.76 0.20 0.52 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_1  17.55 4.98 1.77 63.94 0.20 0.53 10.91 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_10 17.97 4.99 1.77 63.65 0.20 0.52 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_11 17.80 4.95 1.78 63.79 0.20 0.52 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_12 18.03 4.83 1.74 63.75 0.20 0.53 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_13 18.18 4.93 1.76 63.55 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_14 17.88 4.97 1.72 63.76 0.19 0.53 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_15 18.15 4.91 1.77 63.57 0.20 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_16 17.93 4.95 1.74 63.72 0.20 0.52 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_17 18.14 5.01 1.74 63.54 0.20 0.51 10.74 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_18 18.08 4.92 1.77 63.60 0.20 0.52 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_19 17.69 4.89 1.73 63.94 0.20 0.53 10.89 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_2  17.85 4.97 1.75 63.74 0.20 0.52 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_3  17.72 4.91 1.73 63.91 0.20 0.53 10.87 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_4  18.03 4.92 1.75 63.65 0.20 0.53 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_5  17.90 4.90 1.78 63.78 0.19 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_6  17.80 5.07 1.74 63.73 0.19 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_7  18.13 4.89 1.75 63.58 0.20 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_8  18.20 4.85 1.79 63.55 0.20 0.53 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_14_9  17.31 4.89 1.75 63.97 0.20 0.53 11.23 0.02 0.10 0.01 0.00
SRM_1831_300s_20x20det_1_15_0  18.03 4.90 1.78 63.66 0.20 0.52 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_1  18.19 4.94 1.76 63.53 0.20 0.53 10.74 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_10 18.07 4.86 1.73 63.68 0.20 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_11 17.88 4.98 1.78 63.70 0.20 0.53 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_12 18.16 4.94 1.78 63.51 0.20 0.52 10.76 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_13 17.87 4.96 1.75 63.76 0.20 0.51 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_14 18.16 4.89 1.74 63.57 0.21 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_15 18.13 4.93 1.74 63.57 0.20 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_16 17.98 4.99 1.78 63.62 0.20 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_17 18.09 4.90 1.79 63.62 0.20 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_18 17.99 5.01 1.78 63.61 0.20 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_19 18.04 4.96 1.70 63.67 0.20 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_2  17.87 5.03 1.75 63.67 0.20 0.52 10.85 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_3  18.06 4.89 1.73 63.68 0.20 0.52 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_4  18.04 4.94 1.71 63.64 0.20 0.53 10.82 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_5  18.01 4.93 1.74 63.68 0.20 0.52 10.81 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_6  17.99 4.91 1.73 63.69 0.20 0.52 10.84 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_7  17.83 4.90 1.73 63.84 0.20 0.53 10.86 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_8  18.08 4.98 1.74 63.59 0.19 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_15_9  18.15 4.89 1.75 63.60 0.20 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_0  17.97 4.96 1.79 63.65 0.20 0.52 10.79 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_1  17.95 5.05 1.79 63.60 0.20 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_10 18.19 4.89 1.75 63.57 0.19 0.52 10.77 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_11 17.93 4.99 1.76 63.67 0.20 0.53 10.80 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_16_12 17.86 4.86 1.73 63.82 0.20 0.53 10.88 0.02 0.09 0.01 0.00
