ROI backgr, sum

Spectrum                                     Na       Mg       Al       Si        S        K       Ca       Ti        Fe        Sr        Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_47    -1437    -1789    -2063    -2111    -2472    -3940    -4299    -5937    -22468    -58640    -26461
SRM_1831_300s_100_repeat_Rh_FE_D1_0_48    -1413    -1769    -2061    -2137    -2457    -3929    -4244    -5588    -22167    -58274    -26256
SRM_1831_300s_100_repeat_Rh_FE_D1_0_49    -1413    -1762    -2044    -2118    -2462    -3890    -4253    -5700    -22505    -58440    -26515
SRM_1831_300s_100_repeat_Rh_FE_D1_0_5     -1461    -1819    -2099    -2151    -2528    -3924    -4228    -5823    -22427    -58645    -26253
SRM_1831_300s_100_repeat_Rh_FE_D1_0_50    -1406    -1760    -2046    -2119    -2445    -3907    -4274    -5912    -22683    -58505    -26188
SRM_1831_300s_100_repeat_Rh_FE_D1_0_51    -1399    -1732    -1980    -2007    -2332    -3795    -4113    -5780    -22772    -58660    -26427
SRM_1831_300s_100_repeat_Rh_FE_D1_0_52    -1432    -1784    -2062    -2123    -2476    -3846    -4176    -5691    -22477    -58530    -26244
SRM_1831_300s_100_repeat_Rh_FE_D1_0_53    -1426    -1778    -2054    -2111    -2470    -3889    -4204    -5802    -22279    -58672    -26478
SRM_1831_300s_100_repeat_Rh_FE_D1_0_54    -1429    -1775    -2044    -2095    -2407    -3902    -4262    -5984    -22187    -58477    -26673
SRM_1831_300s_100_repeat_Rh_FE_D1_0_55    -1464    -1825    -2112    -2176    -2547    -3997    -4356    -5725    -22560    -58685    -26562
SRM_1831_300s_100_repeat_Rh_FE_D1_0_56    -1423    -1753    -1988    -1985    -2272    -3811    -4161    -5909    -22696    -58564    -26446
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57    -1402    -1748    -2018    -2069    -2432    -3916    -4273    -5958    -23145    -58623    -26559
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58    -1420    -1778    -2070    -2150    -2557    -3892    -4184    -5657    -22509    -58561    -26474
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59    -1422    -1765    -2027    -2065    -2398    -3886    -4214    -5838    -22269    -58473    -26774
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6     -1455    -1815    -2102    -2167    -2546    -4016    -4387    -5831    -22365    -58456    -26698
