Net counts

Spectrum                                 Na   Mg    Al      Si    S     K      Ca   Ti    Fe    Sr    Rh
--------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  6737 7743 11118 1192787 6574 32621 1343064 4505 86215 26222 88013
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  6939 7665 10996 1188207 6610 32991 1339097 4644 86898 25367 88279
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 6960 7840 11069 1186027 6675 33181 1340919 4788 85881 25634 88554
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 6849 7680 11034 1186537 6608 33409 1337741 4727 85587 25018 87293
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 6802 7602 11125 1185448 6322 33289 1338886 4925 86003 26107 87272
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 6714 7858 11012 1186626 6584 33026 1335678 4938 86981 25565 87279
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 6649 7772 10890 1188333 6631 33007 1338178 4845 85632 26078 87453
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 6964 7613 10920 1189198 6456 32809 1340966 4889 85481 25386 87973
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 6748 7772 10995 1190182 6622 32790 1339031 4839 87071 25399 87982
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 6904 7798 11032 1188859 6442 33248 1340491 4736 86296 25928 87496
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 6682 7740 10965 1188244 6683 33328 1339646 4715 86779 25951 88335
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 6852 7633 10727 1189304 6263 33029 1343153 4699 85538 25360 88194
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  6875 7590 11197 1189700 6495 33453 1339132 4465 86758 25467 87755
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 6848 7822 10948 1188255 5984 33234 1339694 4551 86598 25477 88081
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 6916 7667 11074 1189572 6755 33667 1338932 4699 87281 25869 88336
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 6941 7679 11007 1192043 6515 33139 1340719 4439 86425 25898 87426
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 6902 7826 11168 1190448 6434 33311 1341813 4649 86517 25775 87865
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 6940 7841 11180 1189581 6536 33189 1339961 4591 86115 26031 88391
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 6769 7667 11050 1188564 6190 32719 1341994 4706 86751 26139 87638
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 7003 7720 11439 1188561 6124 32818 1339637 4663 85468 26184 87603
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 6840 7677 10997 1190615 6723 33237 1341073 4646 86808 26268 88247
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 6650 7806 10998 1189126 6197 33248 1340781 4498 86385 25987 87244
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 6841 7609 11022 1187496 6369 32867 1340464 4908 86072 27085 88647
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  6861 7756 11438 1187542 6398 33329 1340916 4735 85864 26607 86918
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 6705 7742 10884 1190299 6292 32978 1342835 4726 86793 26289 87788
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 6903 7853 11042 1187126 6277 32964 1336792 4562 85278 26493 87725
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 6755 7942 11185 1191282 6705 33360 1341769 4639 86295 25666 87664
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 6686 7626 11232 1190898 6475 33281 1342707 4259 87104 25230 88087
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 7074 7863 11113 1190538 6581 33653 1340918 4637 87333 26861 89030
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 6937 7839 10925 1187737 6422 33220 1340809 4725 86321 25387 86574
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 7070 7774 10891 1189158 6514 33244 1341486 4725 86393 25993 88040
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 6933 7836 11134 1188558 6309 33166 1343952 4769 86723 26064 87361
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 6838 7745 10859 1190357 6611 33555 1343629 4554 86891 25924 88381
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 6796 7795 10820 1187605 6418 33000 1339887 4638 86877 25920 87764
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  6839 7809 11227 1189658 6516 33457 1344044 4740 87274 26410 87936
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 6714 7792 10942 1189621 6418 33133 1342512 4670 86839 25524 88612
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 6848 7897 10906 1188769 6342 33288 1339981 5075 86076 25689 88630
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 6815 7938 11030 1188180 6497 33175 1341164 4796 86029 25743 87466
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 6831 7854 11016 1189820 6643 33428 1340668 4554 86506 25761 88318
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 6812 7778 11100 1185177 6557 33300 1339032 4715 86256 25903 87392
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 6862 7691 10950 1190414 6649 33224 1340701 4775 85896 25260 87987
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 6763 7786 11160 1189874 6555 33411 1341425 4754 86174 26002 88558
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 6631 7452 10708 1189170 6559 32768 1340092 4576 86133 25598 88158
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 6932 7750 11169 1188678 6544 33530 1340441 4650 85898 26005 88227
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 6700 7780 10925 1189399 6484 32960 1342554 4946 86218 26750 88154
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  6833 7832 11029 1191208 6580 33367 1344312 4636 86531 26252 87659
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 6712 7752 10972 1189935 6599 32881 1342807 4779 85987 26240 87385
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 6811 7633 10838 1190247 6576 32928 1341797 4751 87167 26366 88208
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 6892 7820 11280 1189655 6553 33179 1341900 4764 86983 25849 87719
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 6871 7763 11264 1186272 6367 33097 1339268 4842 86894 25171 86356
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 6752 7805 11139 1188041 6590 33494 1340849 4664 86871 25808 88048
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 7047 7899 11294 1189662 6562 33153 1340876 4669 86407 25848 87692
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 6808 7904 10982 1190800 6453 33514 1341040 4480 86771 25894 87776
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 7040 7925 11055 1191229 6489 33151 1343343 5005 85843 26405 87585
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 6837 7660 10672 1191193 6476 33645 1343119 4705 86776 25288 87285
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 6994 7796 11032 1190698 6837 33770 1343010 4538 86191 25738 88276
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  6803 7736 10993 1186877 6216 33764 1341613 4611 85811 25545 88319
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 6915 7782 11189 1191130 6366 33370 1343623 4929 86364 25899 89334
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 6991 7823 10807 1190302 6670 33444 1344690 4796 85686 25815 87685
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 6652 7499 10922 1189465 6555 33013 1343705 4916 85733 26052 86522
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 6822 7572 11032 1190564 6443 33584 1342117 4794 85900 26700 88345
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 6823 7918 11187 1188019 6694 32933 1337121 4812 86511 25876 87572
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 7010 7788 10773 1189067 6708 33167 1343583 4863 87122 25456 88338
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 6691 7762 11261 1188310 6610 33057 1340030 4798 86098 25903 87449
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 6835 7656 10759 1192631 6385 33261 1343352 4985 86924 25809 87091
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 6865 7775 11044 1189504 6604 33727 1342919 4683 86153 25934 87436
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 6755 7719 10717 1189397 6305 33037 1342474 4583 86243 26172 87810
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  6880 7975 11135 1188613 6490 33336 1338091 4692 86041 25500 87808
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 6909 7680 10819 1191924 6395 33093 1341376 4503 86635 26387 87359
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 6948 7713 11101 1190078 6594 33037 1342405 4951 86767 26215 89213
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 7001 7832 11191 1190390 6659 33575 1342894 5078 87135 25928 88117
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 7319 7826 11113 1189711 6691 33270 1341641 4410 86330 25884 87701
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 6893 8021 11156 1190511 6545 33271 1339711 4834 86647 26483 87721
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 6994 7688 10992 1189059 6428 33255 1340734 4718 86292 25767 88659
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 6872 7806 11216 1191153 6424 32659 1342000 4624 85781 25368 88240
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 6868 7753 11049 1187215 6427 33554 1341768 4485 85850 26284 87449
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 6779 7689 10995 1187631 6428 33252 1343023 5012 86986 25191 87909
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 6882 7608 10987 1192337 6638 33418 1343405 5104 86661 25564 88070
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  6754 7583 10844 1186801 6265 33210 1337488 4929 86114 26003 88002
