Net counts

Spectrum                              Na    Mg    Al      Si     S    Cl      K      Ca    Ti     V    Mn     Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_20x20det_1_1_8.spx   10270 11622 15909 1674052  9881     0  54561 1859152  6581   412  2288 118948  2589 14802  6029 35818 11072 130002     0
SRM_1831_300s_20x20det_1_1_9.spx   10238 11319 15461 1672943  9965     0  52910 1857856  6607   250  2640 120068  2383 14073  6937 36106 12067 130694     0
SRM_1831_300s_20x20det_1_10_0.spx  10368 11873 15951 1678706  9954     0  51630 1860165  6121   304  2112 119772  2447 14846  7246 35024 11237 131337     0
SRM_1831_300s_20x20det_1_10_1.spx   1478  1509  2259  241538  1363    22   6931  268575   950    46   142  17112   241  1834  1078  5035  1561  18395     0
SRM_1831_300s_20x20det_1_10_10.spx 10153 11619 15647 1660265 10167   129  49885 1853644  6639   365  2570 119635  1534 14179  6999 35450 11276 131554     0
SRM_1831_300s_20x20det_1_10_11.spx 10335 11733 15802 1673157 10134     0  50302 1855925  6162   418  2420 119501  2397 14619  7349 35241 11576 129796     0
SRM_1831_300s_20x20det_1_10_12.spx 10393 11249 15705 1674241 10002    30  55422 1858929  6665   163  2909 120197  2097 15288  6097 34785 11121 130376     0
SRM_1831_300s_20x20det_1_10_13.spx 10452 11689 15985 1673555 10137   130  46154 1856933  6852   508  3227 121057  1778 15033  7386 36157 11366 130855     0
SRM_1831_300s_20x20det_1_10_14.spx 10385 11613 15946 1677059 10078   196  46310 1858172  6519   425  2881 120487  2055 14495  6208 35513 10299 130342     0
SRM_1831_300s_20x20det_1_10_15.spx 10060 12040 15640 1674320  9905     0  48732 1856120  6613   416  2457 119191  1294 14684  6667 35782 11891 131032     0
SRM_1831_300s_20x20det_1_10_16.spx 10402 11705 16098 1676616 10182   127  50601 1857153  6537   699  3099 119734  2680 14799  7276 36302 11987 131012     0
SRM_1831_300s_20x20det_1_10_17.spx 10205 11369 15560 1672597 10212     0  48409 1855837  6667   812  2560 119928  2112 14474  6609 35764 11201 131636     0
SRM_1831_300s_20x20det_1_10_18.spx  9918 11277 15969 1668851 10178     0  47111 1855685  6222   202  2403 119839  1328 15259  6868 36007 11152 130944     0
SRM_1831_300s_20x20det_1_10_19.spx 10040 11591 15927 1677184 10158    48  50868 1857723  6516   531  2209 119132  2056 14395  6284 35325 11639 130542     0
SRM_1831_300s_20x20det_1_10_2.spx  10269 11816 15919 1676364 10007     0  46880 1855409  6689   665  3030 120189  2070 14131  6754 34865 11608 130271     0
SRM_1831_300s_20x20det_1_10_3.spx  10384 11437 15902 1673605  9953     0  44169 1857818  6583   717  2440 121279  1784 14014  6947 35809 11611 131485     0
SRM_1831_300s_20x20det_1_10_4.spx  10229 11695 15720 1675947 10101     0  49804 1852197  6291   685  2317 119710  2824 15214  6790 36355 11402 130308     0
SRM_1831_300s_20x20det_1_10_5.spx  10234 11685 16287 1675925 10161     0  51861 1854486  6628   547  2380 119567  2007 14199  6720 35545 11776 131358     0
SRM_1831_300s_20x20det_1_10_6.spx  10389 11355 15963 1672889 10063    44  52254 1856168  6340   273  2538 119518  2535 14993  6503 34643 10581 129516     0
SRM_1831_300s_20x20det_1_10_7.spx  10098 11552 15910 1673278 10044    60  48346 1857503  6804   441  2115 118837  2010 14732  7166 35188 11860 130964     0
SRM_1831_300s_20x20det_1_10_8.spx   9994 11278 15889 1676951 10147     0  49885 1854311  6540   543  2619 121332  1759 14699  7106 35634 10562 130827     0
SRM_1831_300s_20x20det_1_10_9.spx   9989 11671 15835 1676474 10304   221  52550 1856707  6329   386  3289 120501  2460 15400  5859 35239 11366 131181     0
SRM_1831_300s_20x20det_1_11_0.spx  10018 11578 15644 1668932 10032     0  51966 1849989  6644   511  1729 119964  2156 14313  6733 36067 10562 132345     0
