Net counts

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_12_9  1654455 1825646 118435
SRM_1831_300s_20x20det_1_13_0  1654676 1824805 120951
SRM_1831_300s_20x20det_1_13_1  1653813 1825077 120014
SRM_1831_300s_20x20det_1_13_10 1659353 1826311 119664
SRM_1831_300s_20x20det_1_13_11 1659584 1826720 119085
SRM_1831_300s_20x20det_1_13_12 1645777 1820730 118527
SRM_1831_300s_20x20det_1_13_13 1659682 1826611 119604
SRM_1831_300s_20x20det_1_13_14 1655287 1824113 119563
SRM_1831_300s_20x20det_1_13_15 1657405 1823955 119845
SRM_1831_300s_20x20det_1_13_16 1656486 1828064 120531
SRM_1831_300s_20x20det_1_13_17 1654819 1823009 119569
SRM_1831_300s_20x20det_1_13_18 1660099 1827404 120384
SRM_1831_300s_20x20det_1_13_19 1657470 1827367 119662
SRM_1831_300s_20x20det_1_13_2  1652852 1824847 119545
SRM_1831_300s_20x20det_1_13_3  1655287 1820702 119034
SRM_1831_300s_20x20det_1_13_4  1652646 1821726 119133
SRM_1831_300s_20x20det_1_13_5  1653015 1821048 120073
SRM_1831_300s_20x20det_1_13_6  1655199 1824475 120238
SRM_1831_300s_20x20det_1_13_7  1649808 1824679 119840
SRM_1831_300s_20x20det_1_13_8  1656810 1825485 119329
SRM_1831_300s_20x20det_1_13_9  1652804 1823926 119639
SRM_1831_300s_20x20det_1_14_0  1659954 1827658 120685
SRM_1831_300s_20x20det_1_14_1  1654883 1825838 121013
SRM_1831_300s_20x20det_1_14_10 1658109 1825867 120714
SRM_1831_300s_20x20det_1_14_11 1656164 1823900 120450
SRM_1831_300s_20x20det_1_14_12 1658647 1822370 120082
SRM_1831_300s_20x20det_1_14_13 1659352 1826586 120158
SRM_1831_300s_20x20det_1_14_14 1659191 1826644 119581
SRM_1831_300s_20x20det_1_14_15 1655906 1823632 119339
SRM_1831_300s_20x20det_1_14_16 1657820 1826670 119216
SRM_1831_300s_20x20det_1_14_17 1657353 1823820 120267
SRM_1831_300s_20x20det_1_14_18 1656802 1825811 119707
SRM_1831_300s_20x20det_1_14_19 1657980 1825912 119781
SRM_1831_300s_20x20det_1_14_2  1652739 1825221 119333
SRM_1831_300s_20x20det_1_14_3  1656126 1823095 119790
SRM_1831_300s_20x20det_1_14_4  1654608 1824113 120279
SRM_1831_300s_20x20det_1_14_5  1655752 1821473 119292
SRM_1831_300s_20x20det_1_14_6  1656397 1824003 120507
SRM_1831_300s_20x20det_1_14_7  1650872 1824656 120195
SRM_1831_300s_20x20det_1_14_8  1654233 1821665 119701
SRM_1831_300s_20x20det_1_14_9  1603068 1814933 119437
SRM_1831_300s_20x20det_1_15_0  1658369 1826887 121287
SRM_1831_300s_20x20det_1_15_1  1659374 1825118 119482
SRM_1831_300s_20x20det_1_15_10 1654657 1822880 119122
SRM_1831_300s_20x20det_1_15_11 1652052 1822599 119202
SRM_1831_300s_20x20det_1_15_12 1652301 1822590 120470
SRM_1831_300s_20x20det_1_15_13 1655139 1822001 119505
SRM_1831_300s_20x20det_1_15_14 1651289 1820949 120605
SRM_1831_300s_20x20det_1_15_15 1653766 1825712 119178
SRM_1831_300s_20x20det_1_15_16 1658630 1828376 119882
SRM_1831_300s_20x20det_1_15_17 1658873 1825470 118626
SRM_1831_300s_20x20det_1_15_18 1655636 1823052 118861
SRM_1831_300s_20x20det_1_15_19 1660141 1827918 120025
SRM_1831_300s_20x20det_1_15_2  1654125 1829612 120520
SRM_1831_300s_20x20det_1_15_3  1655914 1824024 119921
SRM_1831_300s_20x20det_1_15_4  1652505 1823800 119581
SRM_1831_300s_20x20det_1_15_5  1656476 1825009 119416
SRM_1831_300s_20x20det_1_15_6  1656668 1829554 120039
SRM_1831_300s_20x20det_1_15_7  1656312 1824881 120438
SRM_1831_300s_20x20det_1_15_8  1654843 1822860 119587
SRM_1831_300s_20x20det_1_15_9  1654971 1821495 119703
SRM_1831_300s_20x20det_1_16_0  1657412 1826458 120527
SRM_1831_300s_20x20det_1_16_1  1656356 1825545 119825
SRM_1831_300s_20x20det_1_16_10 1656512 1825759 120110
SRM_1831_300s_20x20det_1_16_11 1658610 1826537 119324
SRM_1831_300s_20x20det_1_16_12 1655273 1827244 118541
SRM_1831_300s_20x20det_1_16_13 1525879 1806345 119688
SRM_1831_300s_20x20det_1_16_14 1657114 1824009 120780
SRM_1831_300s_20x20det_1_16_15 1654863 1824659 119549
SRM_1831_300s_20x20det_1_16_16 1659065 1825974 119737
SRM_1831_300s_20x20det_1_16_17 1655662 1825852 119313
SRM_1831_300s_20x20det_1_16_18 1660173 1827423 119806
SRM_1831_300s_20x20det_1_16_19 1655836 1825678 120006
SRM_1831_300s_20x20det_1_16_2  1657772 1825492 119932
SRM_1831_300s_20x20det_1_16_3  1650513 1820845 119040
SRM_1831_300s_20x20det_1_16_4  1658181 1827243 119235
SRM_1831_300s_20x20det_1_16_5  1657879 1823124 119411
SRM_1831_300s_20x20det_1_16_6  1655150 1823502 119690
SRM_1831_300s_20x20det_1_16_7  1653124 1825568 120215
SRM_1831_300s_20x20det_1_16_8  1656084 1825748 120510
SRM_1831_300s_20x20det_1_16_9  1655213 1822832 120159
SRM_1831_300s_20x20det_1_17_0  1659754 1829606 119718
SRM_1831_300s_20x20det_1_17_1  1657826 1827475 119903
SRM_1831_300s_20x20det_1_17_10 1659365 1825533 119277
SRM_1831_300s_20x20det_1_17_11 1660359 1826672 120621
SRM_1831_300s_20x20det_1_17_12 1659234 1827080 120409
SRM_1831_300s_20x20det_1_17_13 1657709 1825893 119278
SRM_1831_300s_20x20det_1_17_14 1659048 1828111 120021
SRM_1831_300s_20x20det_1_17_15 1654357 1823557 120624
SRM_1831_300s_20x20det_1_17_16 1660538 1824443 119286
SRM_1831_300s_20x20det_1_17_17 1657664 1823314 120331
SRM_1831_300s_20x20det_1_17_18 1657016 1824311 120056
SRM_1831_300s_20x20det_1_17_19 1658128 1824453 120122
SRM_1831_300s_20x20det_1_17_2  1659312 1827119 119947
SRM_1831_300s_20x20det_1_17_3  1661565 1827983 119759
SRM_1831_300s_20x20det_1_17_4  1652180 1820532 120171
