Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     V     Fe    Zn    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_10_16  9586  9476  8605 1656866  9394 40531 1819317  6422   284 119667  4533 31693 10762 120350
SRM_1831_300s_20x20det_1_10_17  9457  9273  8372 1653084  9675 40272 1817894  6504   550 119560  4522 31023 10030 121069
SRM_1831_300s_20x20det_1_10_18  9201  9261  8699 1649526  9378 40185 1818080  6071     0 119607  5253 31242 10017 119639
SRM_1831_300s_20x20det_1_10_19  9277  9563  8691 1657746  9543 40635 1820371  6491   312 118933  4725 30832 10345 119720
SRM_1831_300s_20x20det_1_10_2   9440  9464  8455 1656629  9288 40256 1817981  6618   274 120124  4867 30512 10334 119592
SRM_1831_300s_20x20det_1_10_3   9474  9203  8525 1654245  9264 40270 1819622  6507   540 121231  4530 31025 10689 119719
SRM_1831_300s_20x20det_1_10_4   9387  9466  8288 1656305  9395 40201 1815033  6236   290 119473  5390 32222 10065 119818
SRM_1831_300s_20x20det_1_10_5   9402  9436  8765 1656446  9434 40336 1816377  6606   313 119427  4545 31008 10554 120024
SRM_1831_300s_20x20det_1_10_6   9628  9250  8531 1653206  9316 40208 1818223  6198     0 119323  5045 30374  9389 119039
SRM_1831_300s_20x20det_1_10_7   9264  9233  8485 1653874  9125 40686 1820029  6654   102 118901  4967 30314 10734 119619
SRM_1831_300s_20x20det_1_10_8   9264  9139  8388 1657283  9588 40258 1816785  6342     0 121212  4826 30857  9291 120062
SRM_1831_300s_20x20det_1_10_9   9194  9459  8392 1656911  9392 40722 1819190  6262     0 120138  5732 30795 10022 120445
SRM_1831_300s_20x20det_1_11_0   9197  9445  8316 1649275  9259 39968 1811693  6547   219 119548  4672 31133  9391 121295
SRM_1831_300s_20x20det_1_11_1   9231  9403  8372 1655760  9416 40431 1818655  6588   119 119009  5629 31248  9803 120140
SRM_1831_300s_20x20det_1_11_10  9470  9466  8310 1655368  9186 40317 1818668  6044   236 120484  4862 30661 10415 121070
SRM_1831_300s_20x20det_1_11_11  9577  9478  8723 1657474  9331 40677 1822017  6827   217 119433  4203 30822 10774 119935
SRM_1831_300s_20x20det_1_11_12  9387  9165  8450 1654621  9114 40752 1817755  6394   353 119894  4357 30558 10191 119504
SRM_1831_300s_20x20det_1_11_13  9434  9412  8570 1656871  9486 40799 1817727  6378   155 120105  4828 30977  9800 119330
SRM_1831_300s_20x20det_1_11_14  9535  9678  8290 1657698  9377 40560 1820298  6533     0 120042  5016 31033  9774 119024
SRM_1831_300s_20x20det_1_11_15  9253  9341  8265 1652727  9350 40260 1818690  6853   221 119135  4320 31048  9659 119700
SRM_1831_300s_20x20det_1_11_16  9297  9570  8339 1653386  9478 40474 1820483  6569   155 119900  5001 31156  9893 119413
SRM_1831_300s_20x20det_1_11_17  8780  8777  7962 1598772  9107 40317 1811349  6458   266 119832  4876 30455 10620 119755
SRM_1831_300s_20x20det_1_11_18  9393  9414  8877 1655777  9519 40521 1821497  6371   142 119991  4155 31603  9837 119922
SRM_1831_300s_20x20det_1_11_19  9170  9186  8552 1653760  9223 40777 1817714  6491   261 119232  4819 30513 10659 119351
SRM_1831_300s_20x20det_1_11_2   9524  9552  8689 1650644  9020 40590 1815943  6418    60 118746  4760 31622 10134 118567
SRM_1831_300s_20x20det_1_11_3   9263  9276  8488 1653265  9521 40657 1820091  6519     0 120029  5086 31248 10270 119618
SRM_1831_300s_20x20det_1_11_4   9469  9004  8231 1651420  9591 40302 1814465  6401    81 119367  5520 30767 11466 119638
SRM_1831_300s_20x20det_1_11_5   9413  9549  8682 1656654  9377 40479 1818834  6263     0 119935  4787 30791  9895 119887
SRM_1831_300s_20x20det_1_11_6   9738  9441  8430 1655444  9295 40462 1820312  6467     0 119461  4479 30867 10001 119647
SRM_1831_300s_20x20det_1_11_7   9432  9272  8406 1656886  9315 40314 1817981  6377    77 119167  4896 31250  9840 119329
SRM_1831_300s_20x20det_1_11_8   9281  9377  8679 1655530  9353 40748 1817233  6428     0 120556  5168 31085  9899 120049
