ROI net sum

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     V     Fe    Zn    Sr    Zr     Rh
------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_20x20det_1_0_0   12814 13307 18321 1531720 11804 40392 1516896  5887  2256  98094 15566 31898 14333 103162
SRM_1831_300s_20x20det_1_0_1   12965 13387 17960 1527607 12122 40923 1514254  6086  2229  97632 16010 32620 15140 104443
SRM_1831_300s_20x20det_1_0_10  12848 13472 18068 1532341 12121 40364 1518082  5625  2015  98274 15450 31967 14636 103754
SRM_1831_300s_20x20det_1_0_11  12644 13301 18145 1531946 11925 40964 1524469  5832  2105  98120 15659 31867 13940 103629
SRM_1831_300s_20x20det_1_0_12  12631 13478 17934 1533820 11826 41374 1523903  5752  2086  98984 15416 32862 15028 103624
SRM_1831_300s_20x20det_1_0_13  13044 13446 18325 1530885 12213 40854 1523586  6339  2355  99202 15935 31717 14241 103774
SRM_1831_300s_20x20det_1_0_14  12957 13132 17947 1529245 11879 40965 1521678  5974  2024  98462 15079 32671 14728 103957
SRM_1831_300s_20x20det_1_0_15  13045 13255 17801 1531207 12016 40631 1523453  5806  2133  98036 15804 31743 14366 103611
SRM_1831_300s_20x20det_1_0_16  13008 13498 18006 1531485 12221 40923 1523177  5681  1947  98482 16270 32076 14976 103784
SRM_1831_300s_20x20det_1_0_17  13010 13431 17849 1530392 11826 40889 1520350  5816  2131  98664 16000 32457 13968 104384
SRM_1831_300s_20x20det_1_0_18  12724 13161 17665 1533338 11960 40829 1524105  6003  2217  98773 16058 32591 14157 103948
SRM_1831_300s_20x20det_1_0_19  12882 13194 18146 1531993 12069 40747 1522716  5864  2157  97533 15994 32781 14998 104233
SRM_1831_300s_20x20det_1_0_2   12724 13162 17786 1524405 11909 40412 1513150  6067  2392  98516 15707 31850 14450 103212
SRM_1831_300s_20x20det_1_0_3   12932 13197 17838 1534381 11795 40745 1518920  5834  2126  98729 15306 31822 15235 103753
SRM_1831_300s_20x20det_1_0_4   12707 13318 17969 1528534 11886 40419 1518875  5792  2344  98498 15751 32086 14134 103419
SRM_1831_300s_20x20det_1_0_5   12812 13276 18086 1528489 11976 40615 1520097  5899  2136  97648 15545 31467 14162 103827
SRM_1831_300s_20x20det_1_0_6   12812 13269 18104 1534006 12096 40749 1526424  5894  2237  99586 15644 31972 15437 103950
SRM_1831_300s_20x20det_1_0_7   12817 13487 17925 1532502 11968 40712 1523432  5940  1974  98093 15145 31722 14730 103648
SRM_1831_300s_20x20det_1_0_8   12812 13359 17942 1535671 11909 40728 1525547  6013  2356  98754 15262 32480 13992 104350
SRM_1831_300s_20x20det_1_0_9   12310 13195 17220 1492444 12047 40374 1516522  5816  2416  97785 15581 31939 14260 103283
SRM_1831_300s_20x20det_1_1_0   12896 13635 17949 1528110 12117 41035 1526020  5738  1867  98986 15818 31622 14240 105728
SRM_1831_300s_20x20det_1_1_1   12565 13507 18062 1531649 12005 40852 1524808  6122  2008  98256 15808 32583 14906 105089
SRM_1831_300s_20x20det_1_1_10  12800 13374 17812 1529643 12173 41073 1522691  5689  1928  98063 16680 32110 14072 103976
SRM_1831_300s_20x20det_1_1_11  12886 13240 18094 1530041 12229 40740 1522932  5870  1938  98084 15811 32096 14360 104300
SRM_1831_300s_20x20det_1_1_12  12506 13431 17677 1527909 11868 40883 1521755  5616  2238  98490 15872 31709 14166 104227
SRM_1831_300s_20x20det_1_1_13  12884 13391 17785 1529512 11938 40626 1522872  6095  2213  98713 15888 32337 15362 103200
SRM_1831_300s_20x20det_1_1_14  12915 13316 17625 1529127 12105 40083 1521629  5950  2285  98221 15425 32602 14202 104220
SRM_1831_300s_20x20det_1_1_15  12593 13192 17672 1529614 11916 40815 1522504  6197  2486  98189 15366 32203 14044 104724
SRM_1831_300s_20x20det_1_1_16  12594 13179 18470 1530577 12011 41126 1522581  6355  2214  98291 14998 32563 14704 103676
SRM_1831_300s_20x20det_1_1_17  12748 13268 18007 1527966 12060 40822 1517338  5881  2254  98242 15037 32699 14435 104884
SRM_1831_300s_20x20det_1_1_18  12845 13178 17828 1528977 11924 40950 1521516  5645  2109  97813 15489 32318 14335 103661
SRM_1831_300s_20x20det_1_1_19  12806 13465 18038 1526656 12010 40985 1519729  6036  2186  99088 16113 31370 14147 104375
SRM_1831_300s_20x20det_1_1_2   12983 13566 18216 1533112 11979 40616 1522203  6138  2112  98727 15811 32523 14872 104620
SRM_1831_300s_20x20det_1_1_3   12645 13524 17888 1529344 11777 40463 1520985  5598  2560  98822 15280 32686 15132 104377
SRM_1831_300s_20x20det_1_1_4   12613 13509 17881 1530510 11741 40755 1524098  5990  1954  99024 15368 31377 13157 104482
SRM_1831_300s_20x20det_1_1_5   12801 13488 17746 1529337 12010 40767 1520676  5760  1872  98596 15780 32192 13840 104317
SRM_1831_300s_20x20det_1_1_6   12729 13270 18131 1531011 11861 40573 1520155  5780  1900  98409 15318 32183 14297 103577
SRM_1831_300s_20x20det_1_1_7   12692 13233 17793 1527396 11803 40849 1520233  5884  2503  98512 15188 33030 14419 103914
SRM_1831_300s_20x20det_1_1_8   12730 13369 18026 1529293 11883 41193 1522474  5969  1971  97663 16084 32198 14052 103719
SRM_1831_300s_20x20det_1_1_9   12922 13231 17765 1528372 12113 40787 1521892  5924  2032  98875 15272 32283 14561 104378
SRM_1831_300s_20x20det_1_10_0  13039 13729 18045 1533211 12021 40868 1524589  5580  2026  98685 15665 32145 14586 104616
SRM_1831_300s_20x20det_1_10_1   1897  1842  2583  220658  1718  5956  220108   966   462  14366  2493  5360  2962  15295
SRM_1831_300s_20x20det_1_10_10 12588 13228 17670 1516233 12243 40524 1518854  6239  2141  98359 15431 32088 14796 105173
SRM_1831_300s_20x20det_1_10_11 12828 13373 17894 1527763 12023 40631 1521105  5426  1805  98273 15546 31824 14923 103201
SRM_1831_300s_20x20det_1_10_12 12865 13059 17838 1529448 11994 40839 1522683  5929  1864  98711 16438 31843 14308 103543
SRM_1831_300s_20x20det_1_10_13 12903 13403 18093 1527561 12144 40689 1521184  6132  2023  99229 15820 32677 14193 104502
