ROI net sum

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_12_8  1529391 1518341 104315
SRM_1831_300s_20x20det_1_12_9  1528790 1522949 103061
SRM_1831_300s_20x20det_1_13_0  1529487 1520574 105054
SRM_1831_300s_20x20det_1_13_1  1528949 1521929 104499
SRM_1831_300s_20x20det_1_13_10 1534231 1523334 103622
SRM_1831_300s_20x20det_1_13_11 1534361 1524328 103994
SRM_1831_300s_20x20det_1_13_12 1520929 1518586 103285
SRM_1831_300s_20x20det_1_13_13 1533081 1522487 104200
SRM_1831_300s_20x20det_1_13_14 1530473 1522668 104099
SRM_1831_300s_20x20det_1_13_15 1531202 1519839 103785
SRM_1831_300s_20x20det_1_13_16 1530818 1525960 104204
SRM_1831_300s_20x20det_1_13_17 1529659 1518712 103738
SRM_1831_300s_20x20det_1_13_18 1534248 1523722 104168
SRM_1831_300s_20x20det_1_13_19 1531905 1523187 104743
SRM_1831_300s_20x20det_1_13_2  1528500 1522594 104061
SRM_1831_300s_20x20det_1_13_3  1530283 1518630 103427
SRM_1831_300s_20x20det_1_13_4  1527436 1519412 103723
SRM_1831_300s_20x20det_1_13_5  1528600 1519130 104049
SRM_1831_300s_20x20det_1_13_6  1530249 1521529 104499
SRM_1831_300s_20x20det_1_13_7  1524441 1521499 103513
SRM_1831_300s_20x20det_1_13_8  1531280 1522177 103191
SRM_1831_300s_20x20det_1_13_9  1528388 1521437 104531
SRM_1831_300s_20x20det_1_14_0  1534402 1522893 105544
SRM_1831_300s_20x20det_1_14_1  1528964 1521864 105158
SRM_1831_300s_20x20det_1_14_10 1532298 1522359 104517
SRM_1831_300s_20x20det_1_14_11 1530921 1521813 104411
SRM_1831_300s_20x20det_1_14_12 1532748 1521282 104625
SRM_1831_300s_20x20det_1_14_13 1534056 1522824 104574
SRM_1831_300s_20x20det_1_14_14 1533496 1523185 104366
SRM_1831_300s_20x20det_1_14_15 1530718 1519851 103197
SRM_1831_300s_20x20det_1_14_16 1532344 1523239 103542
SRM_1831_300s_20x20det_1_14_17 1531132 1521432 104120
SRM_1831_300s_20x20det_1_14_18 1531278 1522928 103853
SRM_1831_300s_20x20det_1_14_19 1532226 1522581 104135
SRM_1831_300s_20x20det_1_14_2  1527520 1522497 103869
SRM_1831_300s_20x20det_1_14_3  1531014 1520705 104593
SRM_1831_300s_20x20det_1_14_4  1529268 1520626 103933
SRM_1831_300s_20x20det_1_14_5  1530354 1519127 103664
SRM_1831_300s_20x20det_1_14_6  1530901 1521242 104708
SRM_1831_300s_20x20det_1_14_7  1525606 1521198 104112
SRM_1831_300s_20x20det_1_14_8  1529554 1519774 103392
SRM_1831_300s_20x20det_1_14_9  1480409 1512912 103684
SRM_1831_300s_20x20det_1_15_0  1532787 1522796 105532
SRM_1831_300s_20x20det_1_15_1  1532813 1522714 104302
SRM_1831_300s_20x20det_1_15_10 1530090 1519280 103456
SRM_1831_300s_20x20det_1_15_11 1527036 1518748 103384
SRM_1831_300s_20x20det_1_15_12 1526832 1520174 104671
SRM_1831_300s_20x20det_1_15_13 1530298 1519267 103784
SRM_1831_300s_20x20det_1_15_14 1526065 1519904 104643
SRM_1831_300s_20x20det_1_15_15 1528875 1523991 103657
SRM_1831_300s_20x20det_1_15_16 1531823 1523460 104822
SRM_1831_300s_20x20det_1_15_17 1533262 1523820 103506
SRM_1831_300s_20x20det_1_15_18 1530239 1520934 103717
SRM_1831_300s_20x20det_1_15_19 1533956 1524030 103698
SRM_1831_300s_20x20det_1_15_2  1529041 1526448 104371
SRM_1831_300s_20x20det_1_15_3  1530610 1522175 104137
