ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Fe    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_15_2  12662 13517 17819 1529041 40856 1526448 5890 97355 32093 14075 104371
SRM_1831_300s_20x20det_1_15_3  12689 13149 17913 1530610 40822 1522175 6051 96606 32302 14539 104137
SRM_1831_300s_20x20det_1_15_4  12844 13346 17591 1527394 41158 1521910 5603 97302 32420 14002 103482
SRM_1831_300s_20x20det_1_15_5  12815 13355 17857 1530932 40526 1522088 5723 97566 33396 14506 104013
SRM_1831_300s_20x20det_1_15_6  12832 13260 17708 1531374 40879 1524792 6123 96940 31989 15357 104032
SRM_1831_300s_20x20det_1_15_7  12685 13264 17824 1531117 40788 1521536 5657 96995 31519 14171 104556
SRM_1831_300s_20x20det_1_15_8  12657 13342 17683 1528885 40578 1519571 6102 96632 31926 14096 104769
SRM_1831_300s_20x20det_1_15_9  12811 13099 17794 1528936 40761 1518414 5546 95684 32122 14404 104079
SRM_1831_300s_20x20det_1_16_0  12820 13359 18268 1532837 41026 1523532 5875 96879 31770 14288 104947
SRM_1831_300s_20x20det_1_16_1  12729 13590 18282 1530674 40472 1522843 6223 97157 31831 14701 103654
SRM_1831_300s_20x20det_1_16_10 12690 13021 17771 1530710 40668 1521994 6134 96970 32262 14492 104514
SRM_1831_300s_20x20det_1_16_11 12761 13358 17942 1533260 41216 1524630 6012 97300 32203 14333 103499
SRM_1831_300s_20x20det_1_16_12 12652 13360 17843 1530465 40871 1523961 5833 96832 31927 14726 103729
SRM_1831_300s_20x20det_1_16_13 11229 11870 16404 1410212 40256 1505289 5839 96460 32490 15608 103714
SRM_1831_300s_20x20det_1_16_14 12831 13400 17986 1531255 40657 1520592 6052 96554 32120 15098 104376
SRM_1831_300s_20x20det_1_16_15 13009 13275 18039 1530118 40916 1522182 5744 96058 31798 14602 103809
SRM_1831_300s_20x20det_1_16_16 12825 13484 17900 1532937 40756 1521834 5835 96809 32007 14557 103992
SRM_1831_300s_20x20det_1_16_17 12527 13204 18208 1530241 40475 1522640 6067 96891 31909 13542 103905
SRM_1831_300s_20x20det_1_16_18 12956 13226 17991 1534734 40956 1524795 6014 96129 32558 15100 103840
SRM_1831_300s_20x20det_1_16_19 12692 13456 18065 1530847 40907 1522581 5708 96261 32078 14511 104699
SRM_1831_300s_20x20det_1_16_2  12940 13547 18309 1533622 40744 1522286 5801 97143 32657 15010 104300
SRM_1831_300s_20x20det_1_16_3  12827 13176 17841 1525568 40836 1518827 5876 97345 31649 14885 103721
SRM_1831_300s_20x20det_1_16_4  12744 13208 17920 1532009 40528 1523073 6164 96469 31977 13910 104262
SRM_1831_300s_20x20det_1_16_5  12639 13317 17669 1532405 40772 1519793 5983 96988 32325 14307 103626
SRM_1831_300s_20x20det_1_16_6  12521 13319 17662 1529787 41009 1521322 5979 96807 32555 15187 103224
SRM_1831_300s_20x20det_1_16_7  12866 13113 17737 1528854 40481 1521395 5892 96792 31725 14952 104909
SRM_1831_300s_20x20det_1_16_8  12835 13287 17696 1529710 40523 1521986 5726 97536 32261 14337 104663
SRM_1831_300s_20x20det_1_16_9  12685 13230 18182 1529514 40834 1519895 6276 96748 32638 15232 104646
SRM_1831_300s_20x20det_1_17_0  12984 13392 17953 1534041 40739 1527194 5884 96576 31841 14743 104832
SRM_1831_300s_20x20det_1_17_1  12933 13436 18184 1531577 40549 1524361 5917 96994 31150 14344 104570
SRM_1831_300s_20x20det_1_17_10 12725 13298 17875 1533445 40960 1522886 6177 97709 32154 14785 103679
SRM_1831_300s_20x20det_1_17_11 12694 13366 17756 1534353 40808 1523369 5862 97255 32621 15134 105021
SRM_1831_300s_20x20det_1_17_12 12786 13300 18189 1533187 40369 1523561 6003 97117 31686 14734 104667
SRM_1831_300s_20x20det_1_17_13 12663 13304 17984 1531997 40143 1521426 6150 96849 32827 15480 103902
SRM_1831_300s_20x20det_1_17_14 12864 13244 17757 1533905 40834 1524478 5807 96758 31969 14015 104221
SRM_1831_300s_20x20det_1_17_15 12921 13454 17735 1528983 40603 1520309 5674 96937 31627 14596 105158
SRM_1831_300s_20x20det_1_17_16 12886 13338 18193 1533964 40496 1521537 5727 97407 32128 14875 103648
SRM_1831_300s_20x20det_1_17_17 12775 13630 18081 1531438 40680 1519394 5831 97412 32318 14086 104251
SRM_1831_300s_20x20det_1_17_18 12557 13405 17929 1530992 40792 1521891 6078 96628 32217 14169 103961
