ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Fe    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_2_14  12798 13264 17927 1526816 41159 1518455 5974 96809 31606 13651 103769
SRM_1831_300s_20x20det_1_2_15  12586 13313 17778 1525667 40531 1517814 5796 97155 32595 14942 103186
SRM_1831_300s_20x20det_1_2_16  12566 13300 18028 1518313 40647 1512803 5864 95777 32100 13965 104454
SRM_1831_300s_20x20det_1_2_17  12768 13392 17881 1527182 40827 1516854 5993 96807 32320 14370 103898
SRM_1831_300s_20x20det_1_2_18  12649 13353 17633 1528149 40500 1522444 5761 97014 31582 14011 104043
SRM_1831_300s_20x20det_1_2_19  13033 13098 17915 1530102 40795 1525364 5885 96898 32314 13744 104869
SRM_1831_300s_20x20det_1_2_2   12766 13438 18179 1527014 40532 1520572 5656 96987 31908 14992 104273
SRM_1831_300s_20x20det_1_2_3   12795 13468 17932 1531485 41061 1524511 6052 96941 32114 14664 103928
SRM_1831_300s_20x20det_1_2_4   12977 13158 18213 1525781 40962 1519061 5658 97588 31948 15004 103687
SRM_1831_300s_20x20det_1_2_5   12878 13270 17962 1527582 40817 1519467 5985 96270 32558 14996 103858
SRM_1831_300s_20x20det_1_2_6   12821 13273 17886 1530706 40627 1521286 5975 96500 32111 14545 104136
SRM_1831_300s_20x20det_1_2_7   12750 13272 17800 1526003 40515 1518732 5956 96476 31888 14544 103651
SRM_1831_300s_20x20det_1_2_8   12882 13301 17821 1529051 40391 1519239 5916 96982 32817 14959 104030
SRM_1831_300s_20x20det_1_2_9   12788 13220 17897 1530229 40655 1520489 5860 97329 31929 13991 104147
SRM_1831_300s_20x20det_1_3_0   12799 13421 18107 1527061 40581 1523657 5923 97164 31854 13878 105227
SRM_1831_300s_20x20det_1_3_1   12972 13337 18043 1529095 40926 1523101 5981 96613 31518 14563 104394
SRM_1831_300s_20x20det_1_3_10  12771 13486 17864 1528694 41021 1522569 5644 97297 31112 13760 103494
SRM_1831_300s_20x20det_1_3_11  12854 13482 17889 1530074 40789 1523505 6180 96027 31616 13198 103365
SRM_1831_300s_20x20det_1_3_12  12733 13309 17868 1532200 40896 1522057 6029 96226 32475 13839 103992
SRM_1831_300s_20x20det_1_3_13  12862 13141 18040 1527471 41122 1519578 6059 96625 32742 14566 104066
SRM_1831_300s_20x20det_1_3_14  12789 13271 18054 1527537 41248 1520561 5831 96637 32096 15316 102918
SRM_1831_300s_20x20det_1_3_15  12768 13444 17855 1532155 41014 1518131 5962 97396 31875 14266 103793
SRM_1831_300s_20x20det_1_3_16  12783 13223 17955 1529280 40832 1521809 6032 97008 32429 13727 102633
SRM_1831_300s_20x20det_1_3_17  12623 13525 17820 1529045 40417 1517980 5795 96686 31848 14566 104777
SRM_1831_300s_20x20det_1_3_18  12858 13476 18073 1528625 40724 1523004 5767 97167 33128 14380 103921
SRM_1831_300s_20x20det_1_3_19  12702 13598 17850 1529230 40835 1522945 6032 96672 32001 14749 103554
SRM_1831_300s_20x20det_1_3_2   12986 13424 18178 1528369 40714 1522721 5964 97807 31663 14876 104210
SRM_1831_300s_20x20det_1_3_3   12818 13457 17931 1532050 40721 1522248 5903 97065 32145 14637 104932
SRM_1831_300s_20x20det_1_3_4   12773 13003 17968 1529872 41257 1521616 6211 96217 33281 14516 104666
SRM_1831_300s_20x20det_1_3_5   13012 13276 18291 1529168 40843 1522766 5723 97183 32329 13911 104339
SRM_1831_300s_20x20det_1_3_6   12899 13438 17763 1531011 40781 1520033 6137 96922 31876 14907 103885
SRM_1831_300s_20x20det_1_3_7   12711 13195 17731 1526949 40785 1521854 6306 96440 32894 14733 103501
SRM_1831_300s_20x20det_1_3_8   12946 13199 17677 1528734 40455 1521764 5872 96423 31894 14744 104022
SRM_1831_300s_20x20det_1_3_9   12888 13154 17859 1531380 40766 1522816 5799 97312 31878 14104 103672
SRM_1831_300s_20x20det_1_4_0   12961 13526 18094 1528425 40610 1523390 5816 97430 31882 14619 105463
SRM_1831_300s_20x20det_1_4_1   12892 13294 17885 1528928 40603 1521593 6098 96159 32123 13850 104756
SRM_1831_300s_20x20det_1_4_10  12644 13502 17886 1528029 41331 1518481 6259 96024 31401 14394 104935
SRM_1831_300s_20x20det_1_4_11  12708 13402 18122 1526611 40667 1516619 6041 96500 32299 14517 103742
SRM_1831_300s_20x20det_1_4_12  12890 13717 18029 1526696 40731 1519984 6226 97561 31688 14810 103110
SRM_1831_300s_20x20det_1_4_13  12687 13225 17783 1527834 40700 1521089 6077 96848 31591 14377 104157
SRM_1831_300s_20x20det_1_4_14  12635 13268 17741 1527251 40588 1519513 5999 96901 32887 14103 103469
SRM_1831_300s_20x20det_1_4_15  12786 13508 17805 1526614 40475 1519975 6136 97545 32243 14859 103833
SRM_1831_300s_20x20det_1_4_16  12458 13037 17142 1504251 40502 1520421 5972 97099 32245 14337 103311
SRM_1831_300s_20x20det_1_4_17  12874 13269 17888 1526283 40436 1518418 6055 96672 31856 15003 104283
SRM_1831_300s_20x20det_1_4_18  12678 13306 17954 1528685 40505 1521346 6039 96791 31838 13860 104499
SRM_1831_300s_20x20det_1_4_19  12635 13210 18105 1531719 40602 1523873 5728 97199 32546 14495 104385
SRM_1831_300s_20x20det_1_4_2   12698 13390 17745 1527422 40746 1522806 5886 96918 32077 14611 105474
SRM_1831_300s_20x20det_1_4_3   12742 13233 17804 1528605 40657 1519495 6046 96754 32000 13873 102959
SRM_1831_300s_20x20det_1_4_4   12547 13411 17974 1522440 40741 1514338 5440 96267 31917 14505 103317
SRM_1831_300s_20x20det_1_4_5   12862 13330 17869 1524859 40837 1518501 6054 96520 32305 15286 103225
SRM_1831_300s_20x20det_1_4_6   12771 13417 17932 1524027 40498 1518375 5893 96149 32064 14709 103264
SRM_1831_300s_20x20det_1_4_7   12742 13200 17729 1527394 40981 1520739 5776 96538 32292 14477 104031
SRM_1831_300s_20x20det_1_4_8   12641 13419 17668 1525687 40600 1520408 6058 96829 31232 14653 104222
SRM_1831_300s_20x20det_1_4_9   12703 13654 18057 1527593 41044 1515852 5770 96655 32024 14521 103101
SRM_1831_300s_20x20det_1_5_0   12997 13345 18207 1530830 40729 1522775 5894 97468 31465 14462 105064
SRM_1831_300s_20x20det_1_5_1   12899 13577 18021 1529730 40360 1524546 5676 96856 31589 14569 103662
SRM_1831_300s_20x20det_1_5_10  12698 13323 17836 1527237 40785 1518986 6070 97147 32145 15126 103526
SRM_1831_300s_20x20det_1_5_11  12837 13170 18047 1533409 40944 1525629 6026 98111 32305 15247 104163
SRM_1831_300s_20x20det_1_5_12  12723 13248 18025 1528213 40340 1520129 5694 96644 31308 13668 104245
SRM_1831_300s_20x20det_1_5_13  12782 13303 18064 1528317 40651 1520136 5794 96541 32147 13403 103983
SRM_1831_300s_20x20det_1_5_14  12851 13538 17833 1532373 41246 1525448 6225 97466 32229 14984 104048
SRM_1831_300s_20x20det_1_5_15  12788 13161 18171 1529989 40599 1522815 5500 96306 31978 14389 104148
SRM_1831_300s_20x20det_1_5_16  12797 13231 17938 1524815 40695 1517625 6045 97684 31936 13754 104565
SRM_1831_300s_20x20det_1_5_17  12866 13283 17740 1527772 40623 1521312 5596 96793 31249 14382 103746
SRM_1831_300s_20x20det_1_5_18  12870 13381 17839 1529361 40787 1518785 6118 97295 32461 14793 103634
SRM_1831_300s_20x20det_1_5_19  12718 13220 17593 1526926 40605 1520627 5958 96468 32091 14364 104138
SRM_1831_300s_20x20det_1_5_2   12623 13268 17959 1529427 40520 1520282 5870 97030 32172 14136 103668
SRM_1831_300s_20x20det_1_5_3   12739 13405 17815 1525484 40738 1521532 5799 96801 32055 14037 104401
SRM_1831_300s_20x20det_1_5_4   13107 13334 17882 1530164 40723 1521508 6202 96827 31608 14169 103977
SRM_1831_300s_20x20det_1_5_5   12603 13281 18112 1524190 41166 1518355 6207 97662 31997 13792 104775
SRM_1831_300s_20x20det_1_5_6   12389 13116 17735 1527380 40716 1520586 5995 96392 31809 13703 104665
SRM_1831_300s_20x20det_1_5_7    1812  1975  2608  217806  5770  216832  944 14183  5117  2545  15518
SRM_1831_300s_20x20det_1_5_8   12845 13016 17882 1527715 40601 1519301 5955 96735 32200 14894 104220
SRM_1831_300s_20x20det_1_5_9   12537 13286 18087 1526671 40712 1518648 5813 96716 31271 13246 103788
SRM_1831_300s_20x20det_1_6_0   12852 13422 18199 1530137 40725 1524125 5821 96719 31731 15449 105695
SRM_1831_300s_20x20det_1_6_1   12808 13058 17908 1528237 40339 1521081 5713 97235 32220 14275 105087
SRM_1831_300s_20x20det_1_6_10  12576 13446 17877 1529210 40374 1520320 5770 96970 32204 14181 103596
SRM_1831_300s_20x20det_1_6_11  12615 13543 17686 1526268 40672 1520805 5730 96185 32295 14016 103862
SRM_1831_300s_20x20det_1_6_12  12715 13319 18121 1532074 41115 1522663 5670 96924 32297 14421 103639
SRM_1831_300s_20x20det_1_6_13  12839 13380 18097 1528304 41196 1518287 6138 96986 32419 14810 103837
SRM_1831_300s_20x20det_1_6_14  12654 13384 18063 1532897 40783 1523999 5822 97100 31582 14510 103467
SRM_1831_300s_20x20det_1_6_15  12625 13356 17933 1530892 40832 1521460 5887 97328 31662 15020 104227
SRM_1831_300s_20x20det_1_6_16  12552 13320 17889 1528730 40562 1519771 5969 96337 31742 14329 104274
SRM_1831_300s_20x20det_1_6_17  12795 13222 17908 1526997 40702 1519298 6191 96481 31852 14445 103076
SRM_1831_300s_20x20det_1_6_18  12698 13518 18244 1530834 40765 1521918 6133 96656 33576 14733 104234
SRM_1831_300s_20x20det_1_6_19  12640 13252 17667 1529429 41079 1521132 6018 96113 32094 14082 103586
SRM_1831_300s_20x20det_1_6_2   12712 13257 17991 1529074 40718 1520630 6040 96874 31306 14352 103175
SRM_1831_300s_20x20det_1_6_3   12752 13429 17989 1527790 41270 1518730 5526 96572 32289 14111 103715
SRM_1831_300s_20x20det_1_6_4   12641 13546 17738 1530072 40755 1520878 5864 96976 31856 14666 104270
SRM_1831_300s_20x20det_1_6_5   12753 13387 18208 1526519 40747 1516511 5878 96736 32689 14687 103604
SRM_1831_300s_20x20det_1_6_6   12629 13359 17727 1526869 40406 1520025 5786 96561 32187 15567 103413
SRM_1831_300s_20x20det_1_6_7   12702 13316 17962 1527810 40961 1518930 5918 96672 32079 14172 103592
SRM_1831_300s_20x20det_1_6_8   12685 13312 18024 1530804 40616 1522888 5752 97491 32128 14482 103936
SRM_1831_300s_20x20det_1_6_9   12465 13291 17885 1527471 40833 1519508 5968 95931 32899 14502 104533
SRM_1831_300s_20x20det_1_7_0   12767 13417 18226 1528865 40513 1518781 6099 96620 32474 14398 105115
SRM_1831_300s_20x20det_1_7_1   12763 13702 17733 1531929 40993 1522499 5933 97029 31587 14039 105150
SRM_1831_300s_20x20det_1_7_10  12915 13515 17615 1528999 40599 1520511 5765 96745 31931 14180 103931
SRM_1831_300s_20x20det_1_7_11  12741 13487 17701 1529964 41189 1523414 6427 97180 31597 14607 104647
SRM_1831_300s_20x20det_1_7_12  12908 13386 18003 1530939 40566 1524071 5603 96796 32137 14412 104311
SRM_1831_300s_20x20det_1_7_13  12750 13264 18040 1528699 40650 1521560 5734 97379 31776 13590 104112
SRM_1831_300s_20x20det_1_7_14  12699 13555 18028 1529869 40947 1521871 5656 96509 32688 14003 103982
SRM_1831_300s_20x20det_1_7_15  12749 13244 17843 1527494 40896 1521119 6260 96692 32433 14993 104176
SRM_1831_300s_20x20det_1_7_16  12611 13111 17745 1529410 40833 1520856 5767 96620 31756 14583 103184
SRM_1831_300s_20x20det_1_7_17  12779 13157 17949 1524956 40620 1516509 6387 96977 31895 15297 103417
SRM_1831_300s_20x20det_1_7_18  12721 13234 17869 1529649 40665 1521721 5965 96899 32003 14636 105078
SRM_1831_300s_20x20det_1_7_19  12863 13373 17566 1530706 40868 1523656 5690 96805 31313 14444 104432
SRM_1831_300s_20x20det_1_7_2   12877 13164 17995 1528998 40657 1522750 5757 96612 31729 14420 104442
SRM_1831_300s_20x20det_1_7_3   12461 13579 17947 1530941 40595 1522451 5836 96808 32167 14201 104425
SRM_1831_300s_20x20det_1_7_4   12693 13486 17903 1530799 41034 1521106 6297 97399 31805 15554 104213
SRM_1831_300s_20x20det_1_7_5   12856 13343 18138 1531134 40906 1522998 5961 96581 33185 15225 103538
SRM_1831_300s_20x20det_1_7_6   12648 13549 17788 1529279 40256 1519990 6007 97026 32212 13793 103622
SRM_1831_300s_20x20det_1_7_7   12757 13260 17927 1528183 40594 1520411 5841 95869 32065 14764 103536
SRM_1831_300s_20x20det_1_7_8   12653 13170 17913 1532222 40752 1522666 5756 97709 32367 14540 103931
SRM_1831_300s_20x20det_1_7_9   13005 13425 18085 1532639 40913 1522880 6222 97188 32871 15400 103982
SRM_1831_300s_20x20det_1_8_0   12882 13390 17987 1529638 40733 1523127 6304 96372 31835 13641 104726
SRM_1831_300s_20x20det_1_8_1   12780 13483 18086 1529840 40484 1522031 5924 97057 33187 14430 103950
SRM_1831_300s_20x20det_1_8_10  12957 13329 18106 1530429 40572 1521827 6150 96911 31817 14172 104000
SRM_1831_300s_20x20det_1_8_11  12685 13226 18125 1530316 40723 1522842 5658 96454 32308 14489 103740
SRM_1831_300s_20x20det_1_8_12  13105 13194 17940 1529601 40935 1519839 5725 96407 31477 14400 103942
SRM_1831_300s_20x20det_1_8_13  12713 13339 17836 1530149 40813 1521977 5602 96948 32557 14315 104690
SRM_1831_300s_20x20det_1_8_14  12745 13433 18207 1529535 40630 1522919 5961 97001 31964 13815 103656
SRM_1831_300s_20x20det_1_8_15  13089 13303 17456 1528913 40444 1522958 5809 96721 31670 13949 104084
SRM_1831_300s_20x20det_1_8_16  12655 13127 17958 1528065 40794 1519630 6316 97065 32288 13887 103180
SRM_1831_300s_20x20det_1_8_17  12775 13183 17931 1524470 40691 1519197 6336 96806 31882 13630 103397
SRM_1831_300s_20x20det_1_8_18  12650 13083 18000 1529168 41001 1521296 5981 96378 32325 15578 103744
SRM_1831_300s_20x20det_1_8_19  12549 13196 17957 1528441 40498 1520897 6080 97165 32214 14659 103437
SRM_1831_300s_20x20det_1_8_2   12894 13301 18121 1529062 40574 1522000 5891 96573 32109 14484 103624
SRM_1831_300s_20x20det_1_8_3   12640 13212 17494 1528875 40709 1520640 5678 97602 31952 14411 103459
SRM_1831_300s_20x20det_1_8_4   12681 13391 18101 1530951 40354 1520932 5605 96413 31244 14103 103622
SRM_1831_300s_20x20det_1_8_5   12729 13349 17903 1531812 40461 1525241 5768 97466 32419 14391 104401
SRM_1831_300s_20x20det_1_8_6   12989 13462 18226 1531542 40824 1523660 5802 97003 32291 14053 104668
SRM_1831_300s_20x20det_1_8_7   12655 13266 17889 1530911 40973 1521504 5618 95971 32538 15103 103779
SRM_1831_300s_20x20det_1_8_8   12763 13247 17847 1531276 41035 1520936 5843 96720 32075 13977 104361
SRM_1831_300s_20x20det_1_8_9   12642 13181 18023 1533299 40693 1524727 6341 96844 32033 14165 104317
SRM_1831_300s_20x20det_1_9_0   12926 13527 18171 1532795 41153 1523807 5989 97055 31980 14451 105383
SRM_1831_300s_20x20det_1_9_1   12917 13459 18074 1528935 40738 1523602 5891 96847 32320 13990 104946
SRM_1831_300s_20x20det_1_9_10  12689 13325 18009 1529679 40860 1522206 6002 97067 32183 14158 103855
SRM_1831_300s_20x20det_1_9_11  12801 13239 18101 1530610 40748 1520906 5854 96740 32281 14610 103690
SRM_1831_300s_20x20det_1_9_12  12921 13455 18121 1530782 40426 1521255 6118 96806 31990 14482 103910
SRM_1831_300s_20x20det_1_9_13  12781 13340 17926 1527419 40659 1518533 5595 96596 32543 14757 103815
SRM_1831_300s_20x20det_1_9_14  12759 13372 18066 1528019 40832 1520680 5783 96549 31992 14742 103004
SRM_1831_300s_20x20det_1_9_15  12743 13324 17706 1528087 40393 1517019 6005 96494 31657 14722 103635
SRM_1831_300s_20x20det_1_9_16  12745 13299 17597 1530367 40874 1524132 6372 97531 32770 14975 104658
SRM_1831_300s_20x20det_1_9_17  12287 12840 17190 1490487 40296 1513487 5642 97099 31773 14554 103553
SRM_1831_300s_20x20det_1_9_18  12892 13584 18028 1529676 40814 1520892 6207 96182 31717 15168 104011
SRM_1831_300s_20x20det_1_9_19  12874 13339 17538 1531337 40765 1520744 5785 96408 32033 14309 103772
SRM_1831_300s_20x20det_1_9_2   12762 13421 18138 1528555 40694 1520659 6128 97019 31933 14519 104241
SRM_1831_300s_20x20det_1_9_3   12760 13310 17784 1531724 41007 1523661 6091 97539 32756 14492 104166
SRM_1831_300s_20x20det_1_9_4   13011 13435 18128 1532231 41239 1519019 6194 96876 31210 13979 104227
SRM_1831_300s_20x20det_1_9_5   12676 13387 18014 1529164 40797 1520729 5982 96436 31892 14410 104447
SRM_1831_300s_20x20det_1_9_6   12785 13446 17936 1532584 40409 1523501 5808 96103 31780 14365 103964
SRM_1831_300s_20x20det_1_9_7   12741 13261 17783 1527557 40549 1521332 6122 97487 32913 14879 103689
SRM_1831_300s_20x20det_1_9_8   12644 13189 17873 1531377 40684 1522288 6106 96469 31668 14576 104725
SRM_1831_300s_20x20det_1_9_9   12819 13220 18122 1527204 40735 1521787 6124 96262 31810 14118 104352


Mean value:                    12711 13265 17848 1522327 40562 1514628 5898 96433 31946 14408 103652
Std. Abw.:                       788   822  1102   92835  2474   92029  400  5857  1943   948   6288
Std. Abw. rel. [%]:             6.20  6.19  6.17    6.10  6.10    6.08 6.79  6.07  6.08  6.58   6.07
Conf. interval:                   39    41    55    4642   124    4601   20   293    97    47    314
