ROI net sum

Spectrum                                 Na   Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn   Rb    Sr    Zr    Rh
--------------------------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D1_0_0  8559 8895 12005 1028697 27623 1032185 3975  2778 66628 11034 7148 21440  9697 68954
SRM_1831_300s_100_repeat_Rh_FE_D1_0_1  8347 8998 11906 1028067 27676 1031949 4373  2159 66645 11307 7674 21246 10029 69391
SRM_1831_300s_100_repeat_Rh_FE_D1_0_10 8575 8987 12147 1022349 27561 1028818 3961  2295 66235 10718 7239 21938 10340 69608
SRM_1831_300s_100_repeat_Rh_FE_D1_0_11 8478 8842 12120 1024804 27545 1029267 4208  2005 66713 11478 7155 21864  9400 69158
SRM_1831_300s_100_repeat_Rh_FE_D1_0_12 8557 8914 12154 1024480 27602 1030094 4061  2804 66910 11383 7537 22362 10289 68957
SRM_1831_300s_100_repeat_Rh_FE_D1_0_13 8462 9023 11834 1022183 27459 1029613 4119  2524 66847 11057 7622 21630  9509 69188
SRM_1831_300s_100_repeat_Rh_FE_D1_0_14 8577 8862 11878 1024566 27132 1027201 4365  2838 66827 10821 7185 21329 10131 69367
SRM_1831_300s_100_repeat_Rh_FE_D1_0_15 8406 8976 12032 1024554 27481 1031284 4299  2387 66178 11379 7088 21356  9577 68944
SRM_1831_300s_100_repeat_Rh_FE_D1_0_16 8389 8880 11967 1025744 27270 1030529 3887  2330 66858 11372 7589 21659  9991 68776
SRM_1831_300s_100_repeat_Rh_FE_D1_0_17 8360 8775 11909 1024840 27764 1029851 4006  2540 66024 11087 7110 21875  9825 69404
SRM_1831_300s_100_repeat_Rh_FE_D1_0_18 8630 8939 11874 1026131 27647 1030840 4074  2255 66664 10607 7333 21920 10938 69173
SRM_1831_300s_100_repeat_Rh_FE_D1_0_19 8613 8748 12060 1026868 27490 1030179 4167  2088 66282 11470 7235 22124 10150 69823
SRM_1831_300s_100_repeat_Rh_FE_D1_0_2  8218 8910 11820 1028176 27638 1032143 3974  2128 65972 11912 7741 22118  9917 69614
SRM_1831_300s_100_repeat_Rh_FE_D1_0_20 8530 9031 12218 1026174 27522 1031025 4049  2089 65596 11472 8006 21543 10140 69891
SRM_1831_300s_100_repeat_Rh_FE_D1_0_21 8555 9003 11998 1026111 27391 1032308 3850  2004 66311 11003 7378 21743 10164 69448
SRM_1831_300s_100_repeat_Rh_FE_D1_0_22 8239 8733 11969 1026317 27435 1031729 3966  2444 66673 11224 7384 22441  9700 69900
SRM_1831_300s_100_repeat_Rh_FE_D1_0_23 8482 8986 12032 1026067 27588 1031081 4063  1798 65598 11515 7244 22208 10392 69974
SRM_1831_300s_100_repeat_Rh_FE_D1_0_24 8627 8937 12019 1025346 27744 1031380 4018  2901 66889 11188 7310 21859  9618 69470
SRM_1831_300s_100_repeat_Rh_FE_D1_0_25 8479 8812 11989 1025034 27147 1033680 4056  2415 66574 11294 7740 21928  9849 69712
SRM_1831_300s_100_repeat_Rh_FE_D1_0_26 8478 8929 11852 1026081 27545 1030899 4021  2274 66314 11321 7203 21480  9564 69642
SRM_1831_300s_100_repeat_Rh_FE_D1_0_27 8722 8956 11952 1026378 27802 1031888 3946  2245 66736 11139 7462 21242  9632 69262
SRM_1831_300s_100_repeat_Rh_FE_D1_0_28 8129 9099 11861 1027649 27620 1032317 4079  2421 66560 11210 7652 21418  9546 69964
SRM_1831_300s_100_repeat_Rh_FE_D1_0_29 8485 8866 11885 1025690 27313 1031212 3981  2842 66200 10835 8080 21838 10653 69693
SRM_1831_300s_100_repeat_Rh_FE_D1_0_3  8423 8948 11928 1026997 27279 1032949 4010  2711 67314 11227 7811 22678 10045 69351
SRM_1831_300s_100_repeat_Rh_FE_D1_0_30 8610 9193 12056 1023259 27507 1029856 4196  2644 66484 11205 6869 21750  9781 69188
SRM_1831_300s_100_repeat_Rh_FE_D1_0_31 8411 8901 11873 1025511 27246 1032524 4312  2380 65992 11528 7781 21858  9526 69530
SRM_1831_300s_100_repeat_Rh_FE_D1_0_32 8481 8759 11995 1026451 27528 1029579 4052  2461 66835 11746 7517 21800  9468 69286
