ROI net sum

Spectrum                                 Na   Mg    Al      Si     K      Ca   Ti    Fe    Sr    Zr    Rh
---------------------------------------------------------------------------------------------------------
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  8781 9352 13021 1082963 28460 1088349 4069 69386 23029 10422 71607
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  8796 9063 12756 1078180 28717 1084536 4199 70372 22606 10730 72265
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 8842 9318 12825 1075552 28819 1085237 4265 69732 22292 10568 72740
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 8768 9268 12849 1076587 29353 1083416 4345 69382 21952 10049 71964
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 8783 9102 13030 1076086 29048 1084629 4333 69906 23068 10449 71456
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 8702 9431 12837 1077281 28921 1082178 4209 70552 22657 10306 72082
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 8676 9372 12660 1077475 28643 1083028 4309 69920 22618 10869 71215
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 9069 9191 12791 1078774 28623 1085858 4643 69277 22526  9921 71613
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 8747 9293 12728 1079486 28641 1083746 4360 70405 22506 10770 71832
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 8848 9260 12657 1079267 28940 1084787 4314 69851 22781 10556 72093
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 8691 9301 12798 1078684 29164 1084406 4409 70384 23023  9921 72244
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 8883 9175 12503 1079368 28725 1087166 4303 69278 22723  9605 72216
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  8877 9133 12994 1078768 29095 1084573 4168 70422 22284 10033 71932
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 8820 9315 12713 1078252 28943 1084711 4027 70517 22294 10521 72104
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 8856 9175 12825 1079486 29043 1084102 4244 70648 22774 10582 72666
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 8954 9262 12800 1080923 28871 1085303 3946 69903 22414 10140 71589
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 8891 9367 13014 1079898 29010 1085604 4222 69879 22574 10142 72494
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 8865 9272 12976 1079343 28827 1084356 4425 69845 22918 10673 72688
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 8722 9163 12761 1078554 28684 1087184 4150 69932 22853 10449 71946
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 8969 9173 12971 1078028 28875 1084211 4297 68955 22878 10416 71633
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 8833 9282 12788 1080637 28975 1086904 4288 70012 23331 10855 72375
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 8669 9393 12766 1079359 29075 1085635 4268 69933 22853 10229 71857
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 8749 9156 12638 1077692 28863 1085967 4304 69813 23792 10372 72422
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  8780 9243 13124 1077720 28999 1085286 4318 69608 23502 11054 71374
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 8757 9289 12566 1080373 28920 1087000 4341 70351 22945 10940 72045
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 8922 9462 12917 1077242 28824 1082695 4130 68653 23411 10803 71812
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 8812 9506 13040 1081650 29068 1086490 4297 69773 22530 10345 71805
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 8685 9166 12915 1080185 28841 1087694 3921 69976 22140 10261 71762
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 9015 9346 12971 1080035 29290 1085419 4288 70438 23275 10644 73076
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 8822 9400 12672 1077771 28950 1085519 4303 69798 22589 10687 71117
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 9008 9304 12744 1079198 28932 1085669 4296 70336 23007 10136 72137
