ROI net sum

Spectrum                                 Na   Mg    Al      Si     K      Ca   Ti    Fe    Sr    Zr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 8822 9294 12819 1077706 28910 1087871 4271 70042 22881 10397 71745
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 8869 9352 12679 1080154 29018 1087616 4128 69778 22686 10253 72738
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 8805 9332 12521 1077293 28648 1084518 4200 70139 22505 10630 71894
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  8812 9335 12989 1079242 29172 1087492 4378 71091 23047 10895 72028
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 8836 9352 12718 1079371 28733 1086057 4169 70351 22643 10221 72764
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 8871 9407 12687 1078170 29162 1084657 4593 69677 22412 10755 72523
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 8662 9397 12677 1078710 29158 1085648 4289 69722 22754 10874 71643
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 8750 9256 12905 1079130 29133 1084259 4107 69909 22650  9508 72242
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 8746 9264 12827 1075543 29072 1084060 4274 69639 23104 10859 71798
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 8811 9144 12703 1079358 28975 1085698 4510 69865 22472  9963 71929
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 8775 9312 12882 1079351 29082 1086110 4216 69575 22488 10893 72545
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 8778 9155 12635 1079332 28584 1085559 4091 69538 22465 10222 72381
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 8923 9337 12960 1079004 29155 1085558 4218 69729 23520 11169 72320
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 8830 9330 12812 1079119 28615 1087432 4394 70238 23562 10831 72045
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  8957 9402 12935 1080982 29078 1088601 4182 70278 23306 10865 72098
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 8648 9216 12689 1078992 28827 1086037 4361 69680 22735 10602 72228
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 8837 9192 12768 1080226 28673 1085438 4197 70118 23185  9765 72194
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 8787 9278 12883 1079519 29015 1086875 4234 70586 22437 10513 71835
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 8797 9250 13001 1076458 28988 1084863 4311 70461 22033 10391 70889
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 8772 9270 12911 1077786 29123 1085763 4137 69974 22555 10012 71846
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 9016 9483 13075 1079822 28930 1085460 4274 70290 22818  9844 71864
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 8761 9387 12717 1079693 29215 1085377 4169 69810 22667  9842 72148
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 8933 9281 12823 1081138 28826 1087575 4399 69479 23113 10280 71550
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 8950 9285 12532 1080579 29127 1087159 4376 70327 22697 10345 71536
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 8982 9289 12833 1080423 29200 1087423 4229 69782 22751 10003 72362
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  8755 9285 12815 1077303 29139 1086119 4084 68984 22606 10981 72388
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 8863 9317 12899 1080881 28987 1087345 4442 69717 22739 10461 73029
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 8879 9286 12586 1079861 29064 1088481 4477 69381 22952 10844 71886
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 8779 9152 12723 1078856 28946 1087513 4357 69206 23094 10697 71432
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 8815 9195 12907 1080324 29194 1087063 4390 69848 23494 10769 72184
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 8836 9487 13022 1078203 28856 1084318 4362 69669 22765 10980 72095
SRM_1831_300s_100_repeat_Rh_FE_D2_0_65 8972 9368 12599 1078646 28956 1088212 4275 70043 22519  9790 72535
SRM_1831_300s_100_repeat_Rh_FE_D2_0_66 8701 9280 12961 1078189 28999 1084783 4575 69796 22783 10676 71661
SRM_1831_300s_100_repeat_Rh_FE_D2_0_67 8934 9223 12669 1082241 29003 1087513 4456 70330 22672  9684 71375
SRM_1831_300s_100_repeat_Rh_FE_D2_0_68 8771 9213 12923 1079056 29494 1086513 4259 69509 22859  9866 72212
SRM_1831_300s_100_repeat_Rh_FE_D2_0_69 8675 9161 12454 1079201 28826 1087262 4496 70043 22902 10462 71977
SRM_1831_300s_100_repeat_Rh_FE_D2_0_7  8796 9347 12755 1078585 29093 1084003 4264 69669 22511 10707 72229
SRM_1831_300s_100_repeat_Rh_FE_D2_0_70 8978 9280 12546 1080772 29021 1086612 4185 70149 23317 10300 71737
SRM_1831_300s_100_repeat_Rh_FE_D2_0_71 8937 9303 12782 1080059 28823 1087041 4577 70286 23027 10553 73350
SRM_1831_300s_100_repeat_Rh_FE_D2_0_72 8927 9404 12967 1079384 29258 1087346 4714 70333 22817  9926 72310
SRM_1831_300s_100_repeat_Rh_FE_D2_0_73 9090 9244 12805 1079083 28897 1086388 4193 69796 22871 10400 72207
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 8839 9519 12886 1080138 28867 1084819 4448 70069 22973 10377 71751
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 8821 9160 12747 1078729 28838 1085954 4292 69629 22506 10114 72738
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 8898 9329 12879 1080545 28513 1086777 4173 69725 22270 10416 72412
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 8831 9248 12883 1077610 29257 1085326 4072 69418 23365 11406 71887
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 8751 9207 12796 1077329 28843 1086622 4561 70104 22210 10676 71833
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 8899 9252 12875 1082095 29153 1087043 4467 70204 22579 10079 72269
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  8643 9047 12617 1076345 28892 1082899 4539 69641 23163 11365 72054
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 8805 9473 12847 1080902 28780 1086541 4387 70201 22657 10847 71751
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 8654 9200 13058 1080478 28864 1085250 4419 70189 22997 10266 72313
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 8744 9378 12773 1080355 29012 1086941 4478 70183 23137 10015 71892
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 8822 9254 12732 1078956 29148 1086407 4292 69589 23112 10176 71754
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 8731 9388 12692 1079128 28743 1084354 4408 69713 23000 10096 72471
SRM_1831_300s_100_repeat_Rh_FE_D2_0_85 8874 9227 12739 1081124 29011 1086547 4215 70086 22675 10180 72157
SRM_1831_300s_100_repeat_Rh_FE_D2_0_86 8805 9216 12909 1079810 28792 1085941 4256 69304 23306 10516 71723
SRM_1831_300s_100_repeat_Rh_FE_D2_0_87 8839 9341 13018 1080641 28922 1086968 4274 69610 22835 10701 72339
SRM_1831_300s_100_repeat_Rh_FE_D2_0_88 8889 9223 12737 1081066 29022 1087571 4468 70455 24038 11156 71655
SRM_1831_300s_100_repeat_Rh_FE_D2_0_89 8904 9249 12643 1079214 29168 1085727 4362 70028 22663 10584 71922
SRM_1831_300s_100_repeat_Rh_FE_D2_0_9  8770 9231 12996 1075279 28844 1082331 4344 68990 22941 10983 72075
SRM_1831_300s_100_repeat_Rh_FE_D2_0_90 8802 9329 12727 1079740 28878 1086501 4321 69967 23122 10260 73220
SRM_1831_300s_100_repeat_Rh_FE_D2_0_91 9070 9240 12938 1081302 28949 1085756 4325 69542 22857 10376 72061
SRM_1831_300s_100_repeat_Rh_FE_D2_0_92 8707 9433 12946 1080518 28808 1084674 4258 69829 22418 10413 71769
SRM_1831_300s_100_repeat_Rh_FE_D2_0_93 8802 9139 12633 1073560 28861 1081254 4403 69333 22910 10255 71597
SRM_1831_300s_100_repeat_Rh_FE_D2_0_94 8882 9041 12531 1080651 28805 1085686 4523 69731 22847 10448 71923
SRM_1831_300s_100_repeat_Rh_FE_D2_0_95 8609 9256 12670 1079974 28927 1085464 4341 69861 22256  9640 71980
SRM_1831_300s_100_repeat_Rh_FE_D2_0_96 8840 9321 12800 1079651 28822 1086571 4004 70323 22621 10341 71900
SRM_1831_300s_100_repeat_Rh_FE_D2_0_97 8767 9170 12729 1077469 29148 1087719 4282 69848 22586  9715 71783
SRM_1831_300s_100_repeat_Rh_FE_D2_0_98 8854 9177 12398 1078593 28562 1083282 4173 69933 23229  9896 72111
SRM_1831_300s_100_repeat_Rh_FE_D2_0_99 8796 9232 12886 1077634 28952 1084248 4130 69457 22379 10768 71767


Mean value:                            8827 9280 12801 1079114 28945 1085764 4300 69890 22812 10425 72050
Std. Abw.:                               99  100   151    1588   190    1495  146   411   374   402   430
Std. Abw. rel. [%]:                    1.12 1.08  1.18    0.15  0.66    0.14 3.41  0.59  1.64  3.86  0.60
Conf. interval:                          10   10    15     159    19     150   15    41    37    40    43
