ROI net sum

Spectrum                          Na    Mg    Al      Si     S     K      Ca   Ti    Fe    Sr     Rh
SRM_1831_300s_20x20det_1_11_5  12866 13379 17949 1530703 12066 40897 1521106 5985 97223 31918 104055
SRM_1831_300s_20x20det_1_11_6  13060 13280 17694 1530153 11894 40721 1521832 5973 96812 31650 103796
SRM_1831_300s_20x20det_1_11_7  12865 13285 17976 1531037 12053 40833 1520490 5928 96281 31757 103244
SRM_1831_300s_20x20det_1_11_8  12629 13231 18096 1530364 12055 40804 1519958 5732 97169 31951 104084
SRM_1831_300s_20x20det_1_11_9  12495 13133 17653 1521553 11664 40755 1514456 5909 96957 31616 103774
SRM_1831_300s_20x20det_1_12_0  12838 13403 18245 1528116 11834 40655 1519465 6030 96442 31628 105214
SRM_1831_300s_20x20det_1_12_1  12792 13380 17902 1530560 11919 40722 1523591 6130 96516 31925 104546
SRM_1831_300s_20x20det_1_12_10 12698 13390 17736 1534263 12122 40783 1524143 6049 97586 31883 104054
SRM_1831_300s_20x20det_1_12_11 12764 13317 17792 1525938 11784 40446 1518149 6127 96361 32170 103443
SRM_1831_300s_20x20det_1_12_12 13072 13337 17998 1529406 12023 40086 1519598 5627 96715 32498 103872
SRM_1831_300s_20x20det_1_12_13 12679 13118 17925 1531388 12075 40669 1521336 5905 96457 31748 103570
SRM_1831_300s_20x20det_1_12_14 12986 13090 17954 1528283 12247 41098 1520688 6080 96383 32120 103903
SRM_1831_300s_20x20det_1_12_15 12315 13275 17684 1528925 11967 40304 1519574 6051 97292 32060 104081
SRM_1831_300s_20x20det_1_12_16 12799 13376 17875 1527426 11945 41104 1519355 5788 96578 32086 103018
SRM_1831_300s_20x20det_1_12_17 12754 13204 18310 1527245 11959 40736 1522030 6028 96830 31919 103564
SRM_1831_300s_20x20det_1_12_18 12650 13082 17643 1526047 12074 40661 1520763 6039 97079 31834 104593
SRM_1831_300s_20x20det_1_12_19 12818 12994 17569 1517167 11836 40690 1519421 5727 95973 32369 104051
SRM_1831_300s_20x20det_1_12_2  12695 13146 17638 1532386 12030 40888 1523197 6021 97555 32550 104336
SRM_1831_300s_20x20det_1_12_3  12769 13174 17763 1529577 12072 40714 1523909 6100 96894 31818 104088
SRM_1831_300s_20x20det_1_12_4  13049 13306 18063 1527173 12378 40591 1519855 6002 96438 32008 104943
SRM_1831_300s_20x20det_1_12_5  12557 13503 17880 1528429 11823 40796 1520336 5805 96702 32878 103721
SRM_1831_300s_20x20det_1_12_6  12453 13225 18150 1529819 12038 40644 1520869 5971 97531 32293 104149
SRM_1831_300s_20x20det_1_12_7  12734 13180 17851 1531838 11927 40430 1521126 5570 96709 31741 103728
SRM_1831_300s_20x20det_1_12_8  12791 13264 17831 1529391 12134 41171 1518341 5916 97465 32709 104315
SRM_1831_300s_20x20det_1_12_9  12594 13367 18136 1528790 11740 41284 1522949 5731 96831 31587 103061
SRM_1831_300s_20x20det_1_13_0  12846 13356 18284 1529487 12162 41238 1520574 5904 96132 32136 105054
SRM_1831_300s_20x20det_1_13_1  13057 13236 17965 1528949 12000 40735 1521929 6049 97386 31306 104499
SRM_1831_300s_20x20det_1_13_10 12590 13384 17998 1534231 12165 41232 1523334 5835 97468 32693 103622
SRM_1831_300s_20x20det_1_13_11 12913 13302 17938 1534361 11916 40759 1524328 5917 97336 32591 103994
SRM_1831_300s_20x20det_1_13_12 12788 13360 17689 1520929 11951 40431 1518586 5599 96517 31444 103285
SRM_1831_300s_20x20det_1_13_13 12772 13104 18179 1533081 11964 40425 1522487 5830 96326 31274 104200
SRM_1831_300s_20x20det_1_13_14 12990 13436 18221 1530473 12147 40666 1522668 5667 97068 31858 104099
SRM_1831_300s_20x20det_1_13_15 12819 13402 17925 1531202 11982 40848 1519839 6002 96589 32424 103785
SRM_1831_300s_20x20det_1_13_16 12608 13356 17872 1530818 12059 40916 1525960 6135 97616 32562 104204
SRM_1831_300s_20x20det_1_13_17 12742 13384 17785 1529659 12259 40852 1518712 6007 96437 32699 103738
SRM_1831_300s_20x20det_1_13_18 12986 13350 18172 1534248 12178 40931 1523722 5602 97359 31854 104168
SRM_1831_300s_20x20det_1_13_19 12872 13196 17715 1531905 12241 40786 1523187 5760 97979 31808 104743
SRM_1831_300s_20x20det_1_13_2  12688 13289 18139 1528500 12269 40398 1522594 6244 97107 32254 104061
SRM_1831_300s_20x20det_1_13_3  12789 13154 17771 1530283 11662 40859 1518630 5746 96649 32109 103427
SRM_1831_300s_20x20det_1_13_4  12856 13132 17914 1527436 11877 40500 1519412 5614 96552 32459 103723
SRM_1831_300s_20x20det_1_13_5  12782 13281 17853 1528600 11864 40768 1519130 5953 96754 32302 104049
SRM_1831_300s_20x20det_1_13_6  12663 13292 17897 1530249 11784 40599 1521529 5968 97023 32250 104499
SRM_1831_300s_20x20det_1_13_7  12871 13344 17926 1524441 12079 40820 1521499 5871 97017 32139 103513
SRM_1831_300s_20x20det_1_13_8  12672 13057 18190 1531280 11963 40867 1522177 6092 97133 31831 103191
SRM_1831_300s_20x20det_1_13_9  12765 13266 17992 1528388 12201 40813 1521437 5890 97438 32404 104531
SRM_1831_300s_20x20det_1_14_0  12767 13537 18073 1534402 12240 40624 1522893 6000 96196 32081 105544
SRM_1831_300s_20x20det_1_14_1  12711 13461 18091 1528964 11995 40590 1521864 6055 97049 31318 105158
SRM_1831_300s_20x20det_1_14_10 12745 13360 18031 1532298 12068 40513 1522359 5733 96187 32951 104517
SRM_1831_300s_20x20det_1_14_11 12751 13415 18169 1530921 12198 40654 1521813 6010 96115 32241 104411
SRM_1831_300s_20x20det_1_14_12 12743 13072 17908 1532748 12109 40841 1521282 6046 96894 31571 104625
SRM_1831_300s_20x20det_1_14_13 12864 13279 17932 1534056 12104 40680 1522824 5972 96409 31832 104574
SRM_1831_300s_20x20det_1_14_14 12593 13292 17877 1533496 11745 40885 1523185 5911 96861 32548 104366
SRM_1831_300s_20x20det_1_14_15 12924 13476 18280 1530718 12542 41049 1519851 6075 96937 32493 103197
SRM_1831_300s_20x20det_1_14_16 12743 13455 17823 1532344 12327 40621 1523239 6126 97062 32039 103542
SRM_1831_300s_20x20det_1_14_17 12823 13438 17918 1531132 11981 39867 1521432 5754 97215 31794 104120
SRM_1831_300s_20x20det_1_14_18 12888 13358 17962 1531278 11849 40604 1522928 5810 96330 31440 103853
SRM_1831_300s_20x20det_1_14_19 12645 13225 17735 1532226 11971 41153 1522581 6215 96558 32383 104135
SRM_1831_300s_20x20det_1_14_2  12700 13427 17986 1527520 12317 40778 1522497 6299 96535 31331 103869
SRM_1831_300s_20x20det_1_14_3  12628 13350 17977 1531014 12298 40797 1520705 5739 96742 31957 104593
SRM_1831_300s_20x20det_1_14_4  12834 13237 17856 1529268 12002 41025 1520626 5823 96194 32583 103933
SRM_1831_300s_20x20det_1_14_5  12682 13270 18054 1530354 11570 40356 1519127 6019 96779 32648 103664
SRM_1831_300s_20x20det_1_14_6  12628 13425 17771 1530901 11762 40873 1521242 5838 96475 31654 104708
SRM_1831_300s_20x20det_1_14_7  12882 13373 17917 1525606 12307 40566 1521198 5836 96717 31931 104112
SRM_1831_300s_20x20det_1_14_8  12885 13136 18190 1529554 12323 41050 1519774 6361 97046 31908 103392
SRM_1831_300s_20x20det_1_14_9  12029 12984 17274 1480409 11780 39952 1512912 5561 96304 31768 103684
SRM_1831_300s_20x20det_1_15_0  12908 13382 18139 1532787 12143 40832 1522796 6050 96799 32626 105532
SRM_1831_300s_20x20det_1_15_1  13018 13505 17989 1532813 11983 41187 1522714 6273 96919 32275 104302
SRM_1831_300s_20x20det_1_15_10 12891 13360 17891 1530090 12386 40588 1519280 6029 96732 31988 103456
SRM_1831_300s_20x20det_1_15_11 12649 13390 17927 1527036 11956 41061 1518748 5965 96445 31611 103384
SRM_1831_300s_20x20det_1_15_12 12767 13191 18044 1526832 12028 40936 1520174 5693 96850 31632 104671
SRM_1831_300s_20x20det_1_15_13 12740 13450 17938 1530298 12243 40240 1519267 5887 96658 31457 103784
SRM_1831_300s_20x20det_1_15_14 12962 13221 17932 1526065 12438 40844 1519904 5926 96520 32045 104643
SRM_1831_300s_20x20det_1_15_15 12871 13301 17839 1528875 11867 40936 1523991 6082 96701 32132 103657
SRM_1831_300s_20x20det_1_15_16 12648 13423 18074 1531823 12191 40674 1523460 6085 97289 31783 104822
SRM_1831_300s_20x20det_1_15_17 12712 13140 18241 1533262 12018 40625 1523820 5863 97302 32103 103506
SRM_1831_300s_20x20det_1_15_18 12721 13519 18218 1530239 12157 40538 1520934 5885 96567 31823 103717
SRM_1831_300s_20x20det_1_15_19 12764 13367 17500 1533956 12028 40823 1524030 5793 96339 32639 103698
SRM_1831_300s_20x20det_1_15_2  12662 13517 17819 1529041 12080 40856 1526448 5890 97355 32093 104371
SRM_1831_300s_20x20det_1_15_3  12689 13149 17913 1530610 12216 40822 1522175 6051 96606 32302 104137
SRM_1831_300s_20x20det_1_15_4  12844 13346 17591 1527394 12030 41158 1521910 5603 97302 32420 103482
SRM_1831_300s_20x20det_1_15_5  12815 13355 17857 1530932 12229 40526 1522088 5723 97566 33396 104013
SRM_1831_300s_20x20det_1_15_6  12832 13260 17708 1531374 11969 40879 1524792 6123 96940 31989 104032
SRM_1831_300s_20x20det_1_15_7  12685 13264 17824 1531117 12094 40788 1521536 5657 96995 31519 104556
SRM_1831_300s_20x20det_1_15_8  12657 13342 17683 1528885 11628 40578 1519571 6102 96632 31926 104769
SRM_1831_300s_20x20det_1_15_9  12811 13099 17794 1528936 11946 40761 1518414 5546 95684 32122 104079
SRM_1831_300s_20x20det_1_16_0  12820 13359 18268 1532837 12105 41026 1523532 5875 96879 31770 104947
SRM_1831_300s_20x20det_1_16_1  12729 13590 18282 1530674 12049 40472 1522843 6223 97157 31831 103654
SRM_1831_300s_20x20det_1_16_10 12690 13021 17771 1530710 11841 40668 1521994 6134 96970 32262 104514
SRM_1831_300s_20x20det_1_16_11 12761 13358 17942 1533260 12098 41216 1524630 6012 97300 32203 103499
SRM_1831_300s_20x20det_1_16_12 12652 13360 17843 1530465 11819 40871 1523961 5833 96832 31927 103729
SRM_1831_300s_20x20det_1_16_13 11229 11870 16404 1410212 15878 40256 1505289 5839 96460 32490 103714
SRM_1831_300s_20x20det_1_16_14 12831 13400 17986 1531255 12160 40657 1520592 6052 96554 32120 104376
SRM_1831_300s_20x20det_1_16_15 13009 13275 18039 1530118 11866 40916 1522182 5744 96058 31798 103809
SRM_1831_300s_20x20det_1_16_16 12825 13484 17900 1532937 11996 40756 1521834 5835 96809 32007 103992
SRM_1831_300s_20x20det_1_16_17 12527 13204 18208 1530241 12212 40475 1522640 6067 96891 31909 103905
SRM_1831_300s_20x20det_1_16_18 12956 13226 17991 1534734 11971 40956 1524795 6014 96129 32558 103840
SRM_1831_300s_20x20det_1_16_19 12692 13456 18065 1530847 12190 40907 1522581 5708 96261 32078 104699
SRM_1831_300s_20x20det_1_16_2  12940 13547 18309 1533622 11872 40744 1522286 5801 97143 32657 104300
SRM_1831_300s_20x20det_1_16_3  12827 13176 17841 1525568 12000 40836 1518827 5876 97345 31649 103721
SRM_1831_300s_20x20det_1_16_4  12744 13208 17920 1532009 12086 40528 1523073 6164 96469 31977 104262
SRM_1831_300s_20x20det_1_16_5  12639 13317 17669 1532405 11733 40772 1519793 5983 96988 32325 103626
SRM_1831_300s_20x20det_1_16_6  12521 13319 17662 1529787 11959 41009 1521322 5979 96807 32555 103224
SRM_1831_300s_20x20det_1_16_7  12866 13113 17737 1528854 12183 40481 1521395 5892 96792 31725 104909
SRM_1831_300s_20x20det_1_16_8  12835 13287 17696 1529710 12102 40523 1521986 5726 97536 32261 104663
SRM_1831_300s_20x20det_1_16_9  12685 13230 18182 1529514 12073 40834 1519895 6276 96748 32638 104646
SRM_1831_300s_20x20det_1_17_0  12984 13392 17953 1534041 12009 40739 1527194 5884 96576 31841 104832
SRM_1831_300s_20x20det_1_17_1  12933 13436 18184 1531577 12026 40549 1524361 5917 96994 31150 104570
SRM_1831_300s_20x20det_1_17_10 12725 13298 17875 1533445 11950 40960 1522886 6177 97709 32154 103679
SRM_1831_300s_20x20det_1_17_11 12694 13366 17756 1534353 11997 40808 1523369 5862 97255 32621 105021
SRM_1831_300s_20x20det_1_17_12 12786 13300 18189 1533187 12124 40369 1523561 6003 97117 31686 104667
SRM_1831_300s_20x20det_1_17_13 12663 13304 17984 1531997 11828 40143 1521426 6150 96849 32827 103902
SRM_1831_300s_20x20det_1_17_14 12864 13244 17757 1533905 11999 40834 1524478 5807 96758 31969 104221
SRM_1831_300s_20x20det_1_17_15 12921 13454 17735 1528983 11815 40603 1520309 5674 96937 31627 105158
SRM_1831_300s_20x20det_1_17_16 12886 13338 18193 1533964 12250 40496 1521537 5727 97407 32128 103648
SRM_1831_300s_20x20det_1_17_17 12775 13630 18081 1531438 11957 40680 1519394 5831 97412 32318 104251
