ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn    Rb    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_11_15 12667 13332 17733 1527275 40782 1521820 6197  3235 96219 15598 10870 31944 13928 103988
SRM_1831_300s_20x20det_1_11_16 12666 13375 17623 1528042 40604 1521897 6271  3074 96762 15523 10665 31956 14192 103736
SRM_1831_300s_20x20det_1_11_17 12117 12612 17030 1477635 40692 1515447 5991  3442 96961 15392 10203 31666 14784 103954
SRM_1831_300s_20x20det_1_11_18 12566 13137 18090 1530840 41006 1523423 5646  4043 97198 15660 10110 32324 14020 103959
SRM_1831_300s_20x20det_1_11_19 12529 13111 17889 1528433 40876 1520848 5797  3697 96780 15562 10017 31280 14229 103314
SRM_1831_300s_20x20det_1_11_2  12845 13425 18050 1524546 40896 1518976 6133  3795 96192 15820 10993 32894 14423 103385
SRM_1831_300s_20x20det_1_11_3  12646 13179 17880 1528384 41014 1522210 6030  3376 96785 15676 10667 32051 14159 104176
SRM_1831_300s_20x20det_1_11_4  12845 13080 17879 1525177 40479 1517188 5951  3476 96806 15885 11175 32041 15438 103989
SRM_1831_300s_20x20det_1_11_5  12866 13379 17949 1530703 40897 1521106 5985  3441 97223 15520 10379 31918 13940 104055
SRM_1831_300s_20x20det_1_11_6  13060 13280 17694 1530153 40721 1521832 5973  3513 96812 15499  9977 31650 14061 103796
SRM_1831_300s_20x20det_1_11_7  12865 13285 17976 1531037 40833 1520490 5928  3159 96281 15459  9822 31757 13857 103244
SRM_1831_300s_20x20det_1_11_8  12629 13231 18096 1530364 40804 1519958 5732  3156 97169 16100 10344 31951 14401 104084
SRM_1831_300s_20x20det_1_11_9  12495 13133 17653 1521553 40755 1514456 5909  3115 96957 15677 10681 31616 14491 103774
SRM_1831_300s_20x20det_1_12_0  12838 13403 18245 1528116 40655 1519465 6030  2893 96442 15921 10317 31628 14471 105214
SRM_1831_300s_20x20det_1_12_1  12792 13380 17902 1530560 40722 1523591 6130  2998 96516 15356 11047 31925 14367 104546
SRM_1831_300s_20x20det_1_12_10 12698 13390 17736 1534263 40783 1524143 6049  3660 97586 15740 10365 31883 14940 104054
SRM_1831_300s_20x20det_1_12_11 12764 13317 17792 1525938 40446 1518149 6127  3154 96361 16091 10881 32170 14652 103443
SRM_1831_300s_20x20det_1_12_12 13072 13337 17998 1529406 40086 1519598 5627  2648 96715 15531 10268 32498 15052 103872
SRM_1831_300s_20x20det_1_12_13 12679 13118 17925 1531388 40669 1521336 5905  3153 96457 14822 10280 31748 14770 103570
SRM_1831_300s_20x20det_1_12_14 12986 13090 17954 1528283 41098 1520688 6080  3570 96383 15725 10839 32120 14600 103903
SRM_1831_300s_20x20det_1_12_15 12315 13275 17684 1528925 40304 1519574 6051  3652 97292 15977 10705 32060 14658 104081
SRM_1831_300s_20x20det_1_12_16 12799 13376 17875 1527426 41104 1519355 5788  3150 96578 15631 10218 32086 14794 103018
