ROI net sum

Spectrum                                 Na   Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn   Rb    Sr    Zr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 8778 9155 12635 1079332 28584 1085559 4091  2601 69538 11553 8179 22465 10222 72381
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 8923 9337 12960 1079004 29155 1085558 4218  2507 69729 11391 8882 23520 11169 72320
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 8830 9330 12812 1079119 28615 1087432 4394  2376 70238 11432 8292 23562 10831 72045
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  8957 9402 12935 1080982 29078 1088601 4182  2293 70278 11928 8617 23306 10865 72098
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 8648 9216 12689 1078992 28827 1086037 4361  2255 69680 11698 8283 22735 10602 72228
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 8837 9192 12768 1080226 28673 1085438 4197  2806 70118 11066 8194 23185  9765 72194
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 8787 9278 12883 1079519 29015 1086875 4234  2585 70586 11185 8161 22437 10513 71835
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 8797 9250 13001 1076458 28988 1084863 4311  2580 70461 11217 7036 22033 10391 70889
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 8772 9270 12911 1077786 29123 1085763 4137  2231 69974 11416 8057 22555 10012 71846
SRM_1831_300s_100_repeat_Rh_FE_D2_0_55 9016 9483 13075 1079822 28930 1085460 4274  2461 70290 12163 8095 22818  9844 71864
SRM_1831_300s_100_repeat_Rh_FE_D2_0_56 8761 9387 12717 1079693 29215 1085377 4169  2300 69810 11355 7987 22667  9842 72148
SRM_1831_300s_100_repeat_Rh_FE_D2_0_57 8933 9281 12823 1081138 28826 1087575 4399  2405 69479 11632 8390 23113 10280 71550
SRM_1831_300s_100_repeat_Rh_FE_D2_0_58 8950 9285 12532 1080579 29127 1087159 4376  2244 70327 11323 7879 22697 10345 71536
SRM_1831_300s_100_repeat_Rh_FE_D2_0_59 8982 9289 12833 1080423 29200 1087423 4229  2367 69782 11651 7927 22751 10003 72362
SRM_1831_300s_100_repeat_Rh_FE_D2_0_6  8755 9285 12815 1077303 29139 1086119 4084  1992 68984 11729 8010 22606 10981 72388
SRM_1831_300s_100_repeat_Rh_FE_D2_0_60 8863 9317 12899 1080881 28987 1087345 4442  3021 69717 11781 8050 22739 10461 73029
SRM_1831_300s_100_repeat_Rh_FE_D2_0_61 8879 9286 12586 1079861 29064 1088481 4477  2823 69381 11494 8220 22952 10844 71886
SRM_1831_300s_100_repeat_Rh_FE_D2_0_62 8779 9152 12723 1078856 28946 1087513 4357  2446 69206 11768 8210 23094 10697 71432
SRM_1831_300s_100_repeat_Rh_FE_D2_0_63 8815 9195 12907 1080324 29194 1087063 4390  2868 69848 11401 8088 23494 10769 72184
SRM_1831_300s_100_repeat_Rh_FE_D2_0_64 8836 9487 13022 1078203 28856 1084318 4362  2737 69669 11441 8100 22765 10980 72095
